MILLIS,X,Y,Z
1714,84.0,-788.0,300.0
1774,212.0,-752.0,392.0
1786,212.0,-752.0,392.0
1806,212.0,-752.0,392.0
1822,212.0,-752.0,392.0
1841,212.0,-752.0,392.0
1858,64.0,-896.0,416.0
1874,64.0,-896.0,416.0
1891,64.0,-896.0,416.0
1908,64.0,-896.0,416.0
1925,64.0,-896.0,416.0
1941,64.0,-896.0,416.0
1959,68.0,-820.0,428.0
1975,68.0,-820.0,428.0
1993,68.0,-820.0,428.0
2008,68.0,-820.0,428.0
2025,68.0,-820.0,428.0
2043,68.0,-820.0,428.0
2059,12.0,-892.0,412.0
2075,12.0,-892.0,412.0
2092,12.0,-892.0,412.0
2109,12.0,-892.0,412.0
2125,12.0,-892.0,412.0
2141,12.0,-892.0,412.0
2159,-12.0,-864.0,392.0
2176,-12.0,-864.0,392.0
2192,-12.0,-864.0,392.0
2208,-12.0,-864.0,392.0
2225,-12.0,-864.0,392.0
2242,-12.0,-864.0,392.0
2258,-12.0,-864.0,392.0
2275,16.0,-824.0,420.0
2292,16.0,-824.0,420.0
2309,16.0,-824.0,420.0
2324,16.0,-824.0,420.0
2342,16.0,-824.0,420.0
2359,16.0,-824.0,420.0
2375,28.0,-892.0,452.0
2392,28.0,-892.0,452.0
2408,28.0,-892.0,452.0
2425,28.0,-892.0,452.0
2442,28.0,-892.0,452.0
2460,28.0,-892.0,452.0
2475,64.0,-852.0,408.0
2492,64.0,-852.0,408.0
2509,64.0,-852.0,408.0
2526,64.0,-852.0,408.0
2542,64.0,-852.0,408.0
2559,64.0,-852.0,408.0
2576,60.0,-868.0,444.0
2592,60.0,-868.0,444.0
2609,60.0,-868.0,444.0
2625,60.0,-868.0,444.0
2642,60.0,-868.0,444.0
2659,60.0,-868.0,444.0
2675,60.0,-868.0,444.0
2692,44.0,-824.0,432.0
2709,44.0,-824.0,432.0
2726,44.0,-824.0,432.0
2742,44.0,-824.0,432.0
2759,44.0,-824.0,432.0
2776,44.0,-824.0,432.0
2792,48.0,-868.0,452.0
2809,48.0,-868.0,452.0
2825,48.0,-868.0,452.0
2842,48.0,-868.0,452.0
2859,48.0,-868.0,452.0
2875,48.0,-868.0,452.0
2892,36.0,-968.0,328.0
2909,36.0,-968.0,328.0
2925,36.0,-968.0,328.0
2941,36.0,-968.0,328.0
2959,36.0,-968.0,328.0
2975,36.0,-968.0,328.0
2992,292.0,-852.0,736.0
3009,292.0,-852.0,736.0
3025,292.0,-852.0,736.0
