MILLIS,X,Y,Z
1741,0.0,0.0,0.0
1793,0.0,0.0,0.0
1800,0.0,0.0,0.0
1819,0.0,0.0,0.0
1833,0.0,0.0,0.0
1849,0.0,0.0,0.0
1866,0.0,0.0,0.0
1882,0.0,0.0,0.0
1899,0.0,0.0,0.0
1916,0.0,0.0,0.0
1933,0.0,0.0,0.0
1950,0.0,0.0,0.0
1966,0.0,0.0,0.0
1984,0.0,0.0,0.0
2000,0.0,0.0,0.0
2017,0.0,0.0,0.0
2034,0.0,0.0,0.0
2051,0.0,0.0,0.0
2067,0.0,0.0,0.0
2084,0.0,0.0,0.0
2100,0.0,0.0,0.0
2117,0.0,0.0,0.0
2134,0.0,0.0,0.0
2150,0.0,0.0,0.0
2167,0.0,0.0,0.0
2184,0.0,0.0,0.0
2201,0.0,0.0,0.0
2217,0.0,0.0,0.0
2234,0.0,0.0,0.0
2251,0.0,0.0,0.0
2267,0.0,0.0,0.0
2284,0.0,0.0,0.0
2300,0.0,0.0,0.0
2317,0.0,0.0,0.0
2334,0.0,0.0,0.0
2351,0.0,0.0,0.0
2367,0.0,0.0,0.0
2384,0.0,0.0,0.0
2401,0.0,0.0,0.0
2417,0.0,0.0,0.0
2434,0.0,0.0,0.0
2451,0.0,0.0,0.0
2467,0.0,0.0,0.0
2484,0.0,0.0,0.0
2500,0.0,0.0,0.0
2517,0.0,0.0,0.0
2534,0.0,0.0,0.0
2550,0.0,0.0,0.0
2567,0.0,0.0,0.0
2583,0.0,0.0,0.0
2601,0.0,0.0,0.0
2616,0.0,0.0,0.0
2634,0.0,0.0,0.0
2650,0.0,0.0,0.0
2668,0.0,0.0,0.0
2684,0.0,0.0,0.0
2700,0.0,0.0,0.0
2716,0.0,0.0,0.0
2733,0.0,0.0,0.0
2750,0.0,0.0,0.0
2768,0.0,0.0,0.0
2784,0.0,0.0,0.0
2800,0.0,0.0,0.0
2817,0.0,0.0,0.0
2833,0.0,0.0,0.0
2849,0.0,0.0,0.0
2867,0.0,0.0,0.0
2884,0.0,0.0,0.0
2901,0.0,0.0,0.0
2917,0.0,0.0,0.0
2934,0.0,0.0,0.0
2951,0.0,0.0,0.0
2967,0.0,0.0,0.0
2984,0.0,0.0,0.0
3001,0.0,0.0,0.0
3017,0.0,0.0,0.0
3034,0.0,0.0,0.0
3050,0.0,0.0,0.0
3067,0.0,0.0,0.0
3084,0.0,0.0,0.0
3101,0.0,0.0,0.0
3118,0.0,0.0,0.0
3134,0.0,0.0,0.0
3151,0.0,0.0,0.0
3167,0.0,0.0,0.0
3184,0.0,0.0,0.0
3200,0.0,0.0,0.0
3216,0.0,0.0,0.0
3233,0.0,0.0,0.0
3251,0.0,0.0,0.0
3267,0.0,0.0,0.0
3283,0.0,0.0,0.0
3300,0.0,0.0,0.0
3316,0.0,0.0,0.0
3333,0.0,0.0,0.0
3350,0.0,0.0,0.0
3367,0.0,0.0,0.0
3384,0.0,0.0,0.0
3400,0.0,0.0,0.0
3418,0.0,0.0,0.0
3434,0.0,0.0,0.0
3451,0.0,0.0,0.0
3467,0.0,0.0,0.0
3483,0.0,0.0,0.0
3500,0.0,0.0,0.0
3518,0.0,0.0,0.0
3533,0.0,0.0,0.0
3550,0.0,0.0,0.0
3567,0.0,0.0,0.0
3584,0.0,0.0,0.0
3600,0.0,0.0,0.0
3617,0.0,0.0,0.0
3633,0.0,0.0,0.0
3650,0.0,0.0,0.0
3667,0.0,0.0,0.0
3683,0.0,0.0,0.0
3700,0.0,0.0,0.0
3717,0.0,0.0,0.0
