MILLIS,X,Y,Z
1351,-1128.0,224.0,40.0
1472,-1008.0,280.0,24.0
1490,-1008.0,280.0,24.0
1506,-1008.0,280.0,24.0
1525,-1008.0,280.0,24.0
1543,-1008.0,280.0,24.0
1560,-1008.0,280.0,24.0
1577,-1024.0,232.0,-8.0
1594,-1024.0,232.0,-8.0
1611,-1024.0,232.0,-8.0
1627,-1024.0,232.0,-8.0
1644,-1024.0,232.0,-8.0
1660,-1024.0,232.0,-8.0
1677,-1024.0,232.0,-8.0
1694,-1032.0,252.0,-24.0
1711,-1032.0,252.0,-24.0
1727,-1032.0,252.0,-24.0
1743,-1032.0,252.0,-24.0
1759,-1032.0,252.0,-24.0
1777,-1032.0,252.0,-24.0
1793,-1024.0,224.0,-48.0
1810,-1024.0,224.0,-48.0
1827,-1024.0,224.0,-48.0
1843,-1024.0,224.0,-48.0
1861,-1024.0,224.0,-48.0
1876,-1024.0,224.0,-48.0
1894,-1028.0,216.0,-36.0
1910,-1028.0,216.0,-36.0
1926,-1028.0,216.0,-36.0
1942,-1028.0,216.0,-36.0
1960,-1028.0,216.0,-36.0
1976,-1028.0,216.0,-36.0
1993,-1032.0,228.0,-32.0
2009,-1032.0,228.0,-32.0
2026,-1032.0,228.0,-32.0
2042,-1032.0,228.0,-32.0
2059,-1032.0,228.0,-32.0
2077,-1032.0,228.0,-32.0
2093,-1032.0,228.0,-32.0
2109,-1036.0,216.0,-44.0
2126,-1036.0,216.0,-44.0
2142,-1036.0,216.0,-44.0
2159,-1036.0,216.0,-44.0
2177,-1036.0,216.0,-44.0
2193,-1036.0,216.0,-44.0
2210,-1028.0,236.0,-52.0
2227,-1028.0,236.0,-52.0
2243,-1028.0,236.0,-52.0
2260,-1028.0,236.0,-52.0
2277,-1028.0,236.0,-52.0
2293,-1028.0,236.0,-52.0
2311,-1020.0,252.0,-96.0
2327,-1020.0,252.0,-96.0
2343,-1020.0,252.0,-96.0
2360,-1020.0,252.0,-96.0
2376,-1020.0,252.0,-96.0
2394,-1020.0,252.0,-96.0
2410,-1008.0,272.0,-96.0
2427,-1008.0,272.0,-96.0
2443,-1008.0,272.0,-96.0
2459,-1008.0,272.0,-96.0
2476,-1008.0,272.0,-96.0
2493,-1008.0,272.0,-96.0
2509,-1028.0,284.0,-120.0
2527,-1028.0,284.0,-120.0
2543,-1028.0,284.0,-120.0
2559,-1028.0,284.0,-120.0
2576,-1028.0,284.0,-120.0
2593,-1028.0,284.0,-120.0
2611,-1028.0,284.0,-120.0
2627,-1020.0,228.0,-100.0
2644,-1020.0,228.0,-100.0
2660,-1020.0,228.0,-100.0
2677,-1020.0,228.0,-100.0
2693,-1020.0,228.0,-100.0
2710,-1020.0,228.0,-100.0
2727,-1028.0,224.0,-144.0
2743,-1028.0,224.0,-144.0
2760,-1028.0,224.0,-144.0
2777,-1028.0,224.0,-144.0
2794,-1028.0,224.0,-144.0
2810,-1028.0,224.0,-144.0
2827,-1020.0,248.0,-172.0
2843,-1020.0,248.0,-172.0
2860,-1020.0,248.0,-172.0
2876,-1020.0,248.0,-172.0
2893,-1020.0,248.0,-172.0
2910,-1020.0,248.0,-172.0
2927,-1028.0,276.0,-136.0
2943,-1028.0,276.0,-136.0
2960,-1028.0,276.0,-136.0
2977,-1028.0,276.0,-136.0
2993,-1028.0,276.0,-136.0
3010,-1028.0,276.0,-136.0
3027,-1004.0,312.0,-188.0
3044,-1004.0,312.0,-188.0
3060,-1004.0,312.0,-188.0
3077,-1004.0,312.0,-188.0
3094,-1004.0,312.0,-188.0
3110,-1004.0,312.0,-188.0
3126,-1004.0,312.0,-188.0
3143,-1016.0,224.0,-196.0
3160,-1016.0,224.0,-196.0
3177,-1016.0,224.0,-196.0
3194,-1016.0,224.0,-196.0
3209,-1016.0,224.0,-196.0
3226,-1016.0,224.0,-196.0
3244,-1012.0,184.0,-260.0
3260,-1012.0,184.0,-260.0
3277,-1012.0,184.0,-260.0
3293,-1012.0,184.0,-260.0
3310,-1012.0,184.0,-260.0
3327,-1012.0,184.0,-260.0
