MILLIS,X,Y,Z
1338,-1016.0,52.0,-76.0
1446,-1036.0,12.0,-100.0
1466,-1048.0,60.0,-88.0
1481,-1048.0,60.0,-88.0
1499,-1048.0,60.0,-88.0
1518,-1048.0,60.0,-88.0
1536,-1048.0,60.0,-88.0
1555,-1048.0,60.0,-88.0
1572,-1048.0,80.0,-60.0
1590,-1048.0,80.0,-60.0
1606,-1048.0,80.0,-60.0
1623,-1048.0,80.0,-60.0
1639,-1048.0,80.0,-60.0
1657,-1048.0,80.0,-60.0
1674,-1044.0,92.0,-36.0
1690,-1044.0,92.0,-36.0
1707,-1044.0,92.0,-36.0
1723,-1044.0,92.0,-36.0
1740,-1044.0,92.0,-36.0
1757,-1044.0,92.0,-36.0
1773,-1052.0,124.0,-36.0
1790,-1052.0,124.0,-36.0
1806,-1052.0,124.0,-36.0
1822,-1052.0,124.0,-36.0
1840,-1052.0,124.0,-36.0
1856,-1052.0,124.0,-36.0
1872,-1052.0,124.0,-36.0
1889,-1024.0,116.0,8.0
1905,-1024.0,116.0,8.0
1923,-1024.0,116.0,8.0
1939,-1024.0,116.0,8.0
1956,-1024.0,116.0,8.0
1972,-1024.0,116.0,8.0
1989,-1044.0,120.0,-20.0
2006,-1044.0,120.0,-20.0
2022,-1044.0,120.0,-20.0
2039,-1044.0,120.0,-20.0
2056,-1044.0,120.0,-20.0
2072,-1044.0,120.0,-20.0
2089,-1048.0,128.0,-96.0
2106,-1048.0,128.0,-96.0
2123,-1048.0,128.0,-96.0
2139,-1048.0,128.0,-96.0
2156,-1048.0,128.0,-96.0
2172,-1048.0,128.0,-96.0
2189,-1052.0,108.0,-120.0
2206,-1052.0,108.0,-120.0
2223,-1052.0,108.0,-120.0
2239,-1052.0,108.0,-120.0
2256,-1052.0,108.0,-120.0
2273,-1052.0,108.0,-120.0
2289,-1052.0,108.0,-120.0
2306,-1080.0,8.0,-116.0
2322,-1080.0,8.0,-116.0
2340,-1080.0,8.0,-116.0
2355,-1080.0,8.0,-116.0
2373,-1080.0,8.0,-116.0
2389,-1080.0,8.0,-116.0
2406,-1056.0,16.0,-132.0
2422,-1056.0,16.0,-132.0
2439,-1056.0,16.0,-132.0
2456,-1056.0,16.0,-132.0
2472,-1056.0,16.0,-132.0
2489,-1056.0,16.0,-132.0
2506,-1068.0,64.0,-168.0
2523,-1068.0,64.0,-168.0
2539,-1068.0,64.0,-168.0
2557,-1068.0,64.0,-168.0
2573,-1068.0,64.0,-168.0
2590,-1068.0,64.0,-168.0
2605,-1060.0,88.0,-160.0
2622,-1060.0,88.0,-160.0
2640,-1060.0,88.0,-160.0
2656,-1060.0,88.0,-160.0
2673,-1060.0,88.0,-160.0
2689,-1060.0,88.0,-160.0
2706,-1064.0,8.0,-148.0
2723,-1064.0,8.0,-148.0
2739,-1064.0,8.0,-148.0
2756,-1064.0,8.0,-148.0
2773,-1064.0,8.0,-148.0
2790,-1064.0,8.0,-148.0
2806,-1064.0,8.0,-148.0
2823,-1060.0,16.0,-152.0
2839,-1060.0,16.0,-152.0
2856,-1060.0,16.0,-152.0
2873,-1060.0,16.0,-152.0
2889,-1060.0,16.0,-152.0
2906,-1060.0,16.0,-152.0
2923,-1056.0,-4.0,-152.0
2939,-1056.0,-4.0,-152.0
2956,-1056.0,-4.0,-152.0
2972,-1056.0,-4.0,-152.0
2990,-1056.0,-4.0,-152.0
3006,-1056.0,-4.0,-152.0
3023,-1060.0,-36.0,-148.0
3039,-1060.0,-36.0,-148.0
3056,-1060.0,-36.0,-148.0
3073,-1060.0,-36.0,-148.0
3090,-1060.0,-36.0,-148.0
3106,-1060.0,-36.0,-148.0
3122,-1032.0,-36.0,-152.0
3139,-1032.0,-36.0,-152.0
3156,-1032.0,-36.0,-152.0
3173,-1032.0,-36.0,-152.0
3189,-1032.0,-36.0,-152.0
3206,-1032.0,-36.0,-152.0
3222,-1032.0,-36.0,-152.0
3239,-1068.0,36.0,-128.0
3256,-1068.0,36.0,-128.0
3273,-1068.0,36.0,-128.0
3290,-1068.0,36.0,-128.0
3306,-1068.0,36.0,-128.0
3322,-1068.0,36.0,-128.0
3339,-1076.0,180.0,-148.0
3355,-1076.0,180.0,-148.0
3372,-1076.0,180.0,-148.0
3389,-1076.0,180.0,-148.0
3406,-1076.0,180.0,-148.0
3422,-1076.0,180.0,-148.0
3439,-1048.0,192.0,-128.0
3455,-1048.0,192.0,-128.0
3473,-1048.0,192.0,-128.0
3490,-1048.0,192.0,-128.0
3506,-1048.0,192.0,-128.0
3523,-1048.0,192.0,-128.0
3540,-1008.0,252.0,-84.0
3556,-1008.0,252.0,-84.0
3573,-1008.0,252.0,-84.0
3589,-1008.0,252.0,-84.0
