MILLIS,X,Y,Z
1389,-928.0,456.0,152.0
1501,-996.0,424.0,88.0
1517,-996.0,424.0,88.0
1532,-996.0,424.0,88.0
1549,-996.0,424.0,88.0
1566,-996.0,424.0,88.0
1583,-996.0,424.0,88.0
1601,-972.0,316.0,108.0
1616,-972.0,316.0,108.0
1633,-972.0,316.0,108.0
1650,-972.0,316.0,108.0
1666,-972.0,316.0,108.0
1683,-972.0,316.0,108.0
1700,-972.0,316.0,108.0
1716,-972.0,340.0,80.0
1734,-972.0,340.0,80.0
1750,-972.0,340.0,80.0
1767,-972.0,340.0,80.0
1783,-972.0,340.0,80.0
1800,-972.0,340.0,80.0
1816,-980.0,428.0,80.0
1833,-980.0,428.0,80.0
1850,-980.0,428.0,80.0
1866,-980.0,428.0,80.0
1883,-980.0,428.0,80.0
1899,-980.0,428.0,80.0
1916,-940.0,376.0,100.0
1933,-940.0,376.0,100.0
1949,-940.0,376.0,100.0
1966,-940.0,376.0,100.0
1982,-940.0,376.0,100.0
1999,-940.0,376.0,100.0
2016,-1008.0,420.0,144.0
2033,-1008.0,420.0,144.0
2049,-1008.0,420.0,144.0
2066,-1008.0,420.0,144.0
2083,-1008.0,420.0,144.0
2099,-1008.0,420.0,144.0
2116,-972.0,556.0,132.0
2132,-972.0,556.0,132.0
2149,-972.0,556.0,132.0
2165,-972.0,556.0,132.0
2183,-972.0,556.0,132.0
2199,-972.0,556.0,132.0
2215,-972.0,556.0,132.0
2232,-896.0,504.0,180.0
2248,-896.0,504.0,180.0
2266,-896.0,504.0,180.0
2283,-896.0,504.0,180.0
2299,-896.0,504.0,180.0
2316,-896.0,504.0,180.0
2332,-944.0,440.0,184.0
2350,-944.0,440.0,184.0
2366,-944.0,440.0,184.0
2383,-944.0,440.0,184.0
2399,-944.0,440.0,184.0
2416,-944.0,440.0,184.0
2433,-964.0,396.0,172.0
2449,-964.0,396.0,172.0
2466,-964.0,396.0,172.0
2482,-964.0,396.0,172.0
2499,-964.0,396.0,172.0
2516,-964.0,396.0,172.0
2532,-920.0,420.0,160.0
2549,-920.0,420.0,160.0
2567,-920.0,420.0,160.0
2583,-920.0,420.0,160.0
2600,-920.0,420.0,160.0
2616,-920.0,420.0,160.0
2633,-920.0,420.0,136.0
2649,-960.0,392.0,136.0
2666,-960.0,392.0,136.0
2683,-960.0,392.0,136.0
2699,-960.0,392.0,136.0
2716,-960.0,392.0,136.0
2732,-960.0,392.0,136.0
2749,-1028.0,408.0,156.0
2766,-1028.0,408.0,156.0
2783,-1028.0,408.0,156.0
2800,-1028.0,408.0,156.0
2816,-1028.0,408.0,156.0
2833,-1028.0,408.0,156.0
2849,-1020.0,284.0,120.0
2867,-1020.0,284.0,120.0
2883,-1020.0,284.0,120.0
2900,-1020.0,284.0,120.0
2916,-1020.0,284.0,120.0
2932,-1020.0,284.0,120.0
2949,-1036.0,148.0,140.0
2966,-1036.0,148.0,140.0
2983,-1036.0,148.0,140.0
2999,-1036.0,148.0,140.0
3017,-1036.0,148.0,140.0
3033,-1036.0,148.0,140.0
