MILLIS,X,Y,Z
1323,-1020.0,80.0,-48.0
1430,-1052.0,108.0,48.0
1441,-1052.0,108.0,48.0
1457,-1052.0,80.0,56.0
1473,-1052.0,80.0,56.0
1490,-1052.0,80.0,56.0
1507,-1052.0,80.0,56.0
1523,-1052.0,80.0,56.0
1541,-1052.0,80.0,56.0
1558,-1036.0,132.0,84.0
1574,-1036.0,132.0,84.0
1591,-1036.0,132.0,84.0
1608,-1036.0,132.0,84.0
1624,-1036.0,132.0,84.0
1641,-1036.0,132.0,84.0
1659,-1092.0,136.0,148.0
1675,-1092.0,136.0,148.0
1691,-1092.0,136.0,148.0
1708,-1092.0,136.0,148.0
1724,-1092.0,136.0,148.0
1741,-1092.0,136.0,148.0
1757,-1092.0,136.0,148.0
1774,-1072.0,124.0,120.0
1791,-1072.0,124.0,120.0
1807,-1072.0,124.0,120.0
1824,-1072.0,124.0,120.0
1840,-1072.0,124.0,120.0
1857,-1072.0,124.0,120.0
1874,-1036.0,168.0,164.0
1890,-1036.0,168.0,164.0
1907,-1036.0,168.0,164.0
1923,-1036.0,168.0,164.0
1940,-1036.0,168.0,164.0
1957,-1036.0,168.0,164.0
1973,-992.0,112.0,192.0
1990,-992.0,112.0,192.0
2007,-992.0,112.0,192.0
2023,-992.0,112.0,192.0
2041,-992.0,112.0,192.0
2057,-992.0,112.0,192.0
2073,-1076.0,108.0,172.0
2090,-1076.0,108.0,172.0
2107,-1076.0,108.0,172.0
2124,-1076.0,108.0,172.0
2140,-1076.0,108.0,172.0
2157,-1076.0,108.0,172.0
2174,-1116.0,172.0,-72.0
2190,-1116.0,172.0,-72.0
2207,-1116.0,172.0,-72.0
2224,-1116.0,172.0,-72.0
2240,-1116.0,172.0,-72.0
2257,-1116.0,172.0,-72.0
2273,-1116.0,172.0,-72.0
2290,-992.0,248.0,-152.0
2306,-992.0,248.0,-152.0
2324,-992.0,248.0,-152.0
2340,-992.0,248.0,-152.0
2357,-992.0,248.0,-152.0
2374,-992.0,248.0,-152.0
2390,-1052.0,216.0,-120.0
2407,-1052.0,216.0,-120.0
2423,-1052.0,216.0,-120.0
2440,-1052.0,216.0,-120.0
2457,-1052.0,216.0,-120.0
2474,-1052.0,216.0,-120.0
2490,-1072.0,240.0,-76.0
2507,-1072.0,240.0,-76.0
2524,-1072.0,240.0,-76.0
2540,-1072.0,240.0,-76.0
2557,-1072.0,240.0,-76.0
2573,-1072.0,240.0,-76.0
2590,-996.0,272.0,-44.0
2608,-996.0,272.0,-44.0
2624,-996.0,272.0,-44.0
2641,-996.0,272.0,-44.0
2657,-996.0,272.0,-44.0
2674,-996.0,272.0,-44.0
2690,-996.0,272.0,-44.0
2707,-1024.0,284.0,-16.0
2724,-1024.0,284.0,-16.0
2740,-1024.0,284.0,-16.0
2758,-1024.0,284.0,-16.0
2774,-1024.0,284.0,-16.0
2791,-1024.0,284.0,-16.0
2807,-1012.0,252.0,40.0
2824,-1012.0,252.0,40.0
2840,-1012.0,252.0,40.0
2857,-1012.0,252.0,40.0
2873,-1012.0,252.0,40.0
2891,-1012.0,252.0,40.0
2907,-1016.0,340.0,44.0
2924,-1016.0,340.0,44.0
2940,-1016.0,340.0,44.0
2957,-1016.0,340.0,44.0
2974,-1016.0,340.0,44.0
2991,-1016.0,340.0,44.0
3006,-1032.0,388.0,4.0
3024,-1032.0,388.0,4.0
3040,-1032.0,388.0,4.0
3057,-1032.0,388.0,4.0
3074,-1032.0,388.0,4.0
3090,-1032.0,388.0,4.0
3107,-952.0,340.0,12.0
3123,-952.0,340.0,12.0
3141,-952.0,340.0,12.0
3157,-952.0,340.0,12.0
3173,-952.0,340.0,12.0
3191,-952.0,340.0,12.0
3206,-952.0,340.0,12.0
3224,-1008.0,368.0,16.0
3240,-1008.0,368.0,16.0
3257,-1008.0,368.0,16.0
3274,-1008.0,368.0,16.0
3290,-1008.0,368.0,16.0
3307,-1008.0,368.0,16.0
3323,-984.0,384.0,-28.0
3340,-984.0,384.0,-28.0
3357,-984.0,384.0,-28.0
3373,-984.0,384.0,-28.0
3390,-984.0,384.0,-28.0
3407,-984.0,384.0,-28.0
3423,-1012.0,384.0,-44.0
3440,-1012.0,384.0,-44.0
3457,-1012.0,384.0,-44.0
3473,-1012.0,384.0,-44.0
3490,-1012.0,384.0,-44.0
3507,-1012.0,384.0,-44.0
3523,-1048.0,360.0,-108.0
3540,-1048.0,360.0,-108.0
3557,-1048.0,360.0,-108.0
3574,-1048.0,360.0,-108.0
3591,-1048.0,360.0,-108.0
3607,-1048.0,360.0,-108.0
3624,-1016.0,316.0,-88.0
3640,-1016.0,316.0,-88.0
3656,-1016.0,316.0,-88.0
3674,-1016.0,316.0,-88.0
3690,-1016.0,316.0,-88.0
3707,-1016.0,316.0,-88.0
3724,-1016.0,316.0,-88.0
3740,-1052.0,296.0,-36.0
3756,-1052.0,296.0,-36.0
3774,-1052.0,296.0,-36.0
3790,-1052.0,296.0,-36.0
3808,-1052.0,296.0,-36.0
3824,-1052.0,296.0,-36.0
3840,-1012.0,320.0,-40.0
3857,-1012.0,320.0,-40.0
3874,-1012.0,320.0,-40.0
3890,-1012.0,320.0,-40.0
3907,-1012.0,320.0,-40.0
3923,-1012.0,320.0,-40.0
3941,-1024.0,272.0,-8.0
3957,-1024.0,272.0,-8.0
3973,-1024.0,272.0,-8.0
3991,-1024.0,272.0,-8.0
4007,-1024.0,272.0,-8.0
4023,-1024.0,272.0,-8.0
4040,-1024.0,244.0,100.0
4057,-1024.0,244.0,100.0
4073,-1024.0,244.0,100.0
4090,-1024.0,244.0,100.0
4107,-1024.0,244.0,100.0
4124,-1024.0,244.0,100.0
4141,-1024.0,244.0,100.0
4157,-1024.0,292.0,124.0
4173,-1024.0,292.0,124.0
4190,-1024.0,292.0,124.0
4206,-1024.0,292.0,124.0
4224,-1024.0,292.0,124.0
4240,-1024.0,292.0,124.0
4257,-1028.0,352.0,132.0
4274,-1028.0,352.0,132.0
4290,-1028.0,352.0,132.0
4308,-1028.0,352.0,132.0
4324,-1028.0,352.0,132.0
4341,-1028.0,352.0,132.0
4357,-960.0,196.0,168.0
4373,-960.0,196.0,168.0
4390,-960.0,196.0,168.0
4407,-960.0,196.0,168.0
4423,-960.0,196.0,168.0
4440,-960.0,196.0,168.0
4456,-1076.0,344.0,156.0
4474,-1076.0,344.0,156.0
4491,-1076.0,344.0,156.0
4507,-1076.0,344.0,156.0
4524,-1076.0,344.0,156.0
4540,-1076.0,344.0,156.0
4557,-1000.0,328.0,68.0
4574,-1000.0,328.0,68.0
4590,-1000.0,328.0,68.0
4607,-1000.0,328.0,68.0
4624,-1000.0,328.0,68.0
4641,-1000.0,328.0,68.0
4657,-1000.0,328.0,68.0
4674,-1028.0,404.0,84.0
4690,-1028.0,404.0,84.0
4708,-1028.0,404.0,84.0
4724,-1028.0,404.0,84.0
4740,-1028.0,404.0,84.0
4757,-1028.0,404.0,84.0
4774,-1016.0,404.0,60.0
4790,-1016.0,404.0,60.0
4807,-1016.0,404.0,60.0
4824,-1016.0,404.0,60.0
4840,-1016.0,404.0,60.0
4857,-1016.0,404.0,60.0
4873,-968.0,416.0,0.0
4890,-968.0,416.0,0.0
4907,-968.0,416.0,0.0
4923,-968.0,416.0,0.0
4940,-968.0,416.0,0.0
4957,-968.0,416.0,0.0
4974,-984.0,392.0,-16.0
4989,-984.0,392.0,-16.0
5007,-984.0,392.0,-16.0
5030,-984.0,392.0,-16.0
5048,-984.0,392.0,-16.0
5065,-984.0,392.0,-16.0
5082,-1036.0,364.0,4.0
5098,-1036.0,364.0,4.0
5115,-1036.0,364.0,4.0
5132,-1036.0,364.0,4.0
5149,-1036.0,364.0,4.0
5165,-1036.0,364.0,4.0
5182,-1016.0,316.0,40.0
5198,-1016.0,316.0,40.0
5215,-1016.0,316.0,40.0
5232,-1016.0,316.0,40.0
5248,-1016.0,316.0,40.0
5265,-1016.0,316.0,40.0
5281,-1016.0,316.0,40.0
5298,-1052.0,308.0,96.0
5314,-1052.0,308.0,96.0
5331,-1052.0,308.0,96.0
5348,-1052.0,308.0,96.0
5365,-1052.0,308.0,96.0
5381,-1052.0,308.0,96.0
5397,-1028.0,224.0,164.0
5415,-1028.0,224.0,164.0
5431,-1028.0,224.0,164.0
5448,-1028.0,224.0,164.0
5464,-1028.0,224.0,164.0
5481,-1028.0,224.0,164.0
5498,-1008.0,224.0,180.0
5514,-1008.0,224.0,180.0
5531,-1008.0,224.0,180.0
5548,-1008.0,224.0,180.0
5564,-1008.0,224.0,180.0
5581,-1008.0,224.0,180.0
5598,-1000.0,196.0,204.0
5615,-1000.0,196.0,204.0
5631,-1000.0,196.0,204.0
5648,-1000.0,196.0,204.0
5665,-1000.0,196.0,204.0
5681,-1000.0,196.0,204.0
5699,-988.0,188.0,264.0
5715,-988.0,188.0,264.0
5732,-988.0,188.0,264.0
5748,-988.0,188.0,264.0
5765,-988.0,188.0,264.0
5781,-988.0,188.0,264.0
5798,-988.0,188.0,264.0
5815,-988.0,176.0,276.0
5832,-988.0,176.0,276.0
5849,-988.0,176.0,276.0
5865,-988.0,176.0,276.0
5881,-988.0,176.0,276.0
5898,-988.0,176.0,276.0
5915,-1036.0,260.0,228.0
5931,-1036.0,260.0,228.0
5948,-1036.0,260.0,228.0
5964,-1036.0,260.0,228.0
5982,-1036.0,260.0,228.0
5998,-1036.0,260.0,228.0
6015,-1008.0,256.0,136.0
6032,-1008.0,256.0,136.0
6048,-1008.0,256.0,136.0
6065,-1008.0,256.0,136.0
6082,-1008.0,256.0,136.0
6099,-1008.0,256.0,136.0
6115,-1024.0,360.0,24.0
6131,-1024.0,360.0,24.0
6148,-1024.0,360.0,24.0
6165,-1024.0,360.0,24.0
6182,-1024.0,360.0,24.0
6198,-1024.0,360.0,24.0
6215,-1040.0,236.0,84.0
6232,-1040.0,236.0,84.0
6248,-1040.0,236.0,84.0
6265,-1040.0,236.0,84.0
6281,-1040.0,236.0,84.0
6299,-1040.0,236.0,84.0
6315,-1040.0,236.0,84.0
6332,-1012.0,268.0,100.0
6348,-1012.0,268.0,100.0
6365,-1012.0,268.0,100.0
6382,-1012.0,268.0,100.0
6398,-1012.0,268.0,100.0
6415,-1012.0,268.0,100.0
6432,-1020.0,272.0,40.0
6448,-1020.0,272.0,40.0
6465,-1020.0,272.0,40.0
6482,-1020.0,272.0,40.0
6499,-1020.0,272.0,40.0
6515,-1020.0,272.0,40.0
6532,-1028.0,264.0,20.0
6548,-1028.0,264.0,20.0
6565,-1028.0,264.0,20.0
6581,-1028.0,264.0,20.0
6598,-1028.0,264.0,20.0
6616,-1028.0,264.0,20.0
6632,-1012.0,364.0,-8.0
6649,-1012.0,364.0,-8.0
6665,-1012.0,364.0,-8.0
6682,-1012.0,364.0,-8.0
6698,-1012.0,364.0,-8.0
6716,-1012.0,364.0,-8.0
6732,-1012.0,364.0,-8.0
6749,-1024.0,328.0,-60.0
6765,-1024.0,328.0,-60.0
6782,-1024.0,328.0,-60.0
6798,-1024.0,328.0,-60.0
6816,-1024.0,328.0,-60.0
6832,-1024.0,328.0,-60.0
6849,-1232.0,236.0,-24.0
6865,-1232.0,236.0,-24.0
6882,-1232.0,236.0,-24.0
6899,-1232.0,236.0,-24.0
6916,-1232.0,236.0,-24.0
6931,-1232.0,236.0,-24.0
6949,-956.0,224.0,0.0
6965,-956.0,224.0,0.0
6982,-956.0,224.0,0.0
6998,-956.0,224.0,0.0
7015,-956.0,224.0,0.0
7032,-956.0,224.0,0.0
7049,-1056.0,72.0,152.0
7065,-1056.0,72.0,152.0
7082,-1056.0,72.0,152.0
7098,-1056.0,72.0,152.0
7116,-1056.0,72.0,152.0
7132,-1056.0,72.0,152.0
7148,-1084.0,0.0,148.0
7166,-1084.0,0.0,148.0
7182,-1084.0,0.0,148.0
7198,-1084.0,0.0,148.0
7215,-1084.0,0.0,148.0
7233,-1084.0,0.0,148.0
7249,-1084.0,0.0,148.0
7265,-1040.0,-24.0,136.0
7283,-1040.0,-24.0,136.0
7299,-1040.0,-24.0,136.0
7316,-1040.0,-24.0,136.0
7333,-1040.0,-24.0,136.0
7349,-1040.0,-24.0,136.0
7366,-1048.0,-8.0,140.0
7382,-1048.0,-8.0,140.0
7399,-1048.0,-8.0,140.0
7415,-1048.0,-8.0,140.0
7432,-1048.0,-8.0,140.0
7448,-1048.0,-8.0,140.0
7465,-1044.0,100.0,84.0
7481,-1044.0,100.0,84.0
7499,-1044.0,100.0,84.0
7515,-1044.0,100.0,84.0
7532,-1044.0,100.0,84.0
7548,-1044.0,100.0,84.0
7565,-1048.0,136.0,84.0
7582,-1048.0,136.0,84.0
7598,-1048.0,136.0,84.0
7615,-1048.0,136.0,84.0
7632,-1048.0,136.0,84.0
7648,-1048.0,136.0,84.0
7666,-1064.0,132.0,40.0
7682,-1064.0,132.0,40.0
7698,-1064.0,132.0,40.0
7716,-1064.0,132.0,40.0
7731,-1064.0,132.0,40.0
7749,-1064.0,132.0,40.0
7764,-1064.0,132.0,40.0
7783,-1064.0,156.0,28.0
7799,-1064.0,156.0,28.0
7815,-1064.0,156.0,28.0
7832,-1064.0,156.0,28.0
7849,-1064.0,156.0,28.0
7866,-1064.0,156.0,28.0
7882,-1072.0,176.0,44.0
7899,-1072.0,176.0,44.0
7915,-1072.0,176.0,44.0
7932,-1072.0,176.0,44.0
7948,-1072.0,176.0,44.0
7965,-1072.0,176.0,44.0
7982,-1108.0,224.0,52.0
7999,-1108.0,224.0,52.0
8015,-1108.0,224.0,52.0
8032,-1108.0,224.0,52.0
8048,-1108.0,224.0,52.0
8065,-1108.0,224.0,52.0
8082,-1024.0,264.0,76.0
8098,-1024.0,264.0,76.0
8116,-1024.0,264.0,76.0
8132,-1024.0,264.0,76.0
8148,-1024.0,264.0,76.0
8165,-1024.0,264.0,76.0
8182,-1024.0,264.0,76.0
8199,-972.0,276.0,116.0
8215,-972.0,276.0,116.0
8232,-972.0,276.0,116.0
8249,-972.0,276.0,116.0
8266,-972.0,276.0,116.0
8282,-972.0,276.0,116.0
8299,-1008.0,308.0,104.0
8316,-1008.0,308.0,104.0
8332,-1008.0,308.0,104.0
8348,-1008.0,308.0,104.0
8365,-1008.0,308.0,104.0
8381,-1008.0,308.0,104.0
8399,-980.0,320.0,84.0
8416,-980.0,320.0,84.0
8432,-980.0,320.0,84.0
8447,-980.0,320.0,84.0
8465,-980.0,320.0,84.0
8482,-980.0,320.0,84.0
8499,-1000.0,280.0,60.0
8516,-1000.0,280.0,60.0
8532,-1000.0,280.0,60.0
8549,-1000.0,280.0,60.0
8565,-1000.0,280.0,60.0
8582,-1000.0,280.0,60.0
8599,-1060.0,256.0,0.0
8615,-1060.0,256.0,0.0
8632,-1060.0,256.0,0.0
8648,-1060.0,256.0,0.0
8666,-1060.0,256.0,0.0
8682,-1060.0,256.0,0.0
8699,-1060.0,256.0,0.0
8715,-1064.0,220.0,8.0
8732,-1064.0,220.0,8.0
8749,-1064.0,220.0,8.0
8765,-1064.0,220.0,8.0
8782,-1064.0,220.0,8.0
8801,-1064.0,220.0,8.0
8820,-1024.0,192.0,-24.0
8838,-1024.0,192.0,-24.0
8855,-1024.0,192.0,-24.0
8872,-1024.0,192.0,-24.0
8890,-1024.0,192.0,-24.0
8906,-1024.0,192.0,-24.0
8923,-1040.0,188.0,-28.0
8939,-1040.0,188.0,-28.0
8955,-1040.0,188.0,-28.0
8973,-1040.0,188.0,-28.0
8989,-1040.0,188.0,-28.0
9006,-1040.0,188.0,-28.0
9022,-1044.0,200.0,8.0
9039,-1044.0,200.0,8.0
9055,-1044.0,200.0,8.0
9073,-1044.0,200.0,8.0
9089,-1044.0,200.0,8.0
9105,-1044.0,200.0,8.0
9122,-1024.0,248.0,72.0
9139,-1024.0,248.0,72.0
9155,-1024.0,248.0,72.0
9172,-1024.0,248.0,72.0
