MILLIS,X,Y,Z
1373,-1000.0,400.0,176.0
1499,-920.0,388.0,248.0
1515,-920.0,388.0,248.0
1531,-920.0,388.0,248.0
1547,-920.0,388.0,248.0
1565,-920.0,388.0,248.0
1581,-920.0,388.0,248.0
1599,-956.0,348.0,268.0
1615,-956.0,348.0,268.0
1631,-956.0,348.0,268.0
1648,-956.0,348.0,268.0
1665,-956.0,348.0,268.0
1681,-956.0,348.0,268.0
1699,-956.0,348.0,268.0
1715,-912.0,360.0,280.0
1733,-912.0,360.0,280.0
1748,-912.0,360.0,280.0
1765,-912.0,360.0,280.0
1781,-912.0,360.0,280.0
1798,-912.0,360.0,280.0
1814,-888.0,380.0,304.0
1831,-888.0,380.0,304.0
1848,-888.0,380.0,304.0
1864,-888.0,380.0,304.0
1881,-888.0,380.0,304.0
1897,-888.0,380.0,304.0
1914,-852.0,376.0,344.0
1931,-852.0,376.0,344.0
1947,-852.0,376.0,344.0
1964,-852.0,376.0,344.0
1981,-852.0,376.0,344.0
1997,-852.0,376.0,344.0
2014,-852.0,376.0,344.0
2031,-764.0,424.0,380.0
2047,-764.0,424.0,380.0
2065,-764.0,424.0,380.0
2081,-764.0,424.0,380.0
2097,-764.0,424.0,380.0
2114,-764.0,424.0,380.0
2131,-796.0,460.0,400.0
2147,-796.0,460.0,400.0
2164,-796.0,460.0,400.0
2180,-796.0,460.0,400.0
2198,-796.0,460.0,400.0
2214,-796.0,460.0,400.0
2231,-800.0,432.0,428.0
2247,-800.0,432.0,428.0
2265,-800.0,432.0,428.0
2281,-800.0,432.0,428.0
2298,-800.0,432.0,428.0
2314,-800.0,432.0,428.0
2331,-780.0,488.0,424.0
2347,-780.0,488.0,424.0
2365,-780.0,488.0,424.0
2381,-780.0,488.0,424.0
2397,-780.0,488.0,424.0
2414,-780.0,488.0,424.0
2431,-776.0,464.0,408.0
2448,-776.0,464.0,408.0
2464,-776.0,464.0,408.0
2481,-776.0,464.0,408.0
2498,-776.0,464.0,408.0
2514,-776.0,464.0,408.0
2532,-816.0,456.0,372.0
2548,-816.0,456.0,372.0
2564,-816.0,456.0,372.0
2581,-816.0,456.0,372.0
2597,-816.0,456.0,372.0
2615,-816.0,456.0,372.0
2632,-816.0,456.0,372.0
2648,-868.0,444.0,336.0
2664,-868.0,444.0,336.0
2681,-868.0,444.0,336.0
2698,-868.0,444.0,336.0
2715,-868.0,444.0,336.0
2731,-868.0,444.0,336.0
2748,-852.0,452.0,304.0
2765,-852.0,452.0,304.0
2781,-852.0,452.0,304.0
2798,-852.0,452.0,304.0
2814,-852.0,452.0,304.0
2831,-852.0,452.0,304.0
2847,-864.0,464.0,268.0
2865,-864.0,464.0,268.0
2882,-864.0,464.0,268.0
2898,-864.0,464.0,268.0
2915,-864.0,464.0,268.0
2931,-864.0,464.0,268.0
2948,-988.0,380.0,236.0
2964,-988.0,380.0,236.0
2982,-988.0,380.0,236.0
2998,-988.0,380.0,236.0
3015,-988.0,380.0,236.0
3031,-988.0,380.0,236.0
3048,-988.0,380.0,236.0
3064,-960.0,364.0,208.0
3081,-960.0,364.0,208.0
3098,-960.0,364.0,208.0
3115,-960.0,364.0,208.0
3131,-960.0,364.0,208.0
3148,-960.0,364.0,208.0
3165,-912.0,376.0,248.0
3181,-912.0,376.0,248.0
3198,-912.0,376.0,248.0
3215,-912.0,376.0,248.0
3231,-912.0,376.0,248.0
3248,-912.0,376.0,248.0
3264,-908.0,412.0,240.0
3281,-908.0,412.0,240.0
3297,-908.0,412.0,240.0
3314,-908.0,412.0,240.0
3331,-908.0,412.0,240.0
3348,-908.0,412.0,240.0
3364,-876.0,436.0,264.0
3381,-876.0,436.0,264.0
3397,-876.0,436.0,264.0
3415,-876.0,436.0,264.0
3431,-876.0,436.0,264.0
3447,-876.0,436.0,264.0
3465,-864.0,420.0,256.0
3482,-864.0,420.0,256.0
3497,-864.0,420.0,256.0
3515,-864.0,420.0,256.0
3531,-864.0,420.0,256.0
3548,-864.0,420.0,256.0
3565,-864.0,420.0,256.0
3581,-856.0,576.0,328.0
3598,-856.0,576.0,328.0
3614,-856.0,576.0,328.0
3631,-856.0,576.0,328.0
3648,-856.0,576.0,328.0
3665,-856.0,576.0,328.0
3681,-756.0,524.0,324.0
3698,-756.0,524.0,324.0
3714,-756.0,524.0,324.0
3731,-756.0,524.0,324.0
3747,-756.0,524.0,324.0
3765,-756.0,524.0,324.0
3781,-776.0,552.0,348.0
3798,-776.0,552.0,348.0
3815,-776.0,552.0,348.0
3831,-776.0,552.0,348.0
3847,-776.0,552.0,348.0
3864,-776.0,552.0,348.0
3882,-804.0,524.0,320.0
3898,-804.0,524.0,320.0
3914,-804.0,524.0,320.0
3932,-804.0,524.0,320.0
3948,-804.0,524.0,320.0
3964,-804.0,524.0,320.0
3982,-804.0,524.0,320.0
3998,-816.0,480.0,312.0
4014,-816.0,480.0,312.0
4032,-816.0,480.0,312.0
4048,-816.0,480.0,312.0
4065,-816.0,480.0,312.0
4082,-816.0,480.0,312.0
4098,-868.0,436.0,284.0
4115,-868.0,436.0,284.0
4131,-868.0,436.0,284.0
4148,-868.0,436.0,284.0
4164,-868.0,436.0,284.0
4181,-868.0,436.0,284.0
4198,-916.0,420.0,220.0
4213,-916.0,420.0,220.0
4231,-916.0,420.0,220.0
4248,-916.0,420.0,220.0
4263,-916.0,420.0,220.0
4281,-916.0,420.0,220.0
4299,-952.0,376.0,188.0
4314,-952.0,376.0,188.0
4332,-952.0,376.0,188.0
4348,-952.0,376.0,188.0
4364,-952.0,376.0,188.0
4382,-952.0,376.0,188.0
4398,-972.0,372.0,180.0
4414,-972.0,372.0,180.0
4432,-972.0,372.0,180.0
4447,-972.0,372.0,180.0
4464,-972.0,372.0,180.0
4481,-972.0,372.0,180.0
4498,-972.0,372.0,180.0
4514,-1000.0,336.0,180.0
4531,-1000.0,336.0,180.0
4548,-1000.0,336.0,180.0
4564,-1000.0,336.0,180.0
4581,-1000.0,336.0,180.0
4598,-1000.0,336.0,180.0
4614,-992.0,316.0,156.0
4631,-992.0,316.0,156.0
4648,-992.0,316.0,156.0
4664,-992.0,316.0,156.0
4681,-992.0,316.0,156.0
4698,-992.0,316.0,156.0
4714,-980.0,280.0,184.0
4732,-980.0,280.0,184.0
4749,-980.0,280.0,184.0
4764,-980.0,280.0,184.0
4782,-980.0,280.0,184.0
4798,-980.0,280.0,184.0
4815,-964.0,352.0,180.0
4832,-964.0,352.0,180.0
4847,-964.0,352.0,180.0
4864,-964.0,352.0,180.0
4881,-964.0,352.0,180.0
4898,-964.0,352.0,180.0
4914,-964.0,352.0,180.0
4931,-960.0,396.0,160.0
4948,-960.0,396.0,160.0
4964,-960.0,396.0,160.0
4980,-960.0,396.0,160.0
4998,-960.0,396.0,160.0
5015,-960.0,396.0,160.0
5031,-932.0,444.0,160.0
5048,-932.0,444.0,160.0
5065,-932.0,444.0,160.0
5081,-932.0,444.0,160.0
5098,-932.0,444.0,160.0
5115,-932.0,444.0,160.0
5131,-920.0,452.0,176.0
5147,-920.0,452.0,176.0
5165,-920.0,452.0,176.0
5184,-920.0,452.0,176.0
5202,-920.0,452.0,176.0
5221,-920.0,452.0,176.0
5238,-880.0,504.0,228.0
5255,-880.0,504.0,228.0
5273,-880.0,504.0,228.0
5289,-880.0,504.0,228.0
5305,-880.0,504.0,228.0
5322,-880.0,504.0,228.0
5339,-892.0,520.0,204.0
5356,-892.0,520.0,204.0
5372,-892.0,520.0,204.0
5389,-892.0,520.0,204.0
5405,-892.0,520.0,204.0
5422,-892.0,520.0,204.0
5439,-888.0,420.0,208.0
5455,-888.0,420.0,208.0
5471,-888.0,420.0,208.0
5488,-888.0,420.0,208.0
5505,-888.0,420.0,208.0
5521,-888.0,420.0,208.0
5538,-916.0,444.0,176.0
5555,-916.0,444.0,176.0
5571,-916.0,444.0,176.0
5588,-916.0,444.0,176.0
5605,-916.0,444.0,176.0
5622,-916.0,444.0,176.0
5639,-916.0,444.0,176.0
5655,-940.0,460.0,140.0
5672,-940.0,460.0,140.0
5688,-940.0,460.0,140.0
5705,-940.0,460.0,140.0
5722,-940.0,460.0,140.0
5738,-940.0,460.0,140.0
5755,-916.0,416.0,132.0
5772,-916.0,416.0,132.0
5788,-916.0,416.0,132.0
5804,-916.0,416.0,132.0
5822,-916.0,416.0,132.0
5839,-916.0,416.0,132.0
5855,-956.0,404.0,92.0
5872,-956.0,404.0,92.0
5888,-956.0,404.0,92.0
5905,-956.0,404.0,92.0
5923,-956.0,404.0,92.0
5939,-956.0,404.0,92.0
5955,-952.0,392.0,76.0
5972,-952.0,392.0,76.0
