MILLIS,X,Y,Z
1408,-864.0,544.0,280.0
1523,-828.0,508.0,244.0
1537,-828.0,508.0,244.0
1552,-828.0,508.0,244.0
1568,-828.0,508.0,244.0
1585,-828.0,508.0,244.0
1603,-852.0,448.0,240.0
1619,-852.0,448.0,240.0
1636,-852.0,448.0,240.0
1652,-852.0,448.0,240.0
1670,-852.0,448.0,240.0
1686,-852.0,448.0,240.0
1703,-868.0,448.0,260.0
1720,-868.0,448.0,260.0
1736,-868.0,448.0,260.0
1753,-868.0,448.0,260.0
1769,-868.0,448.0,260.0
1785,-868.0,448.0,260.0
1803,-868.0,448.0,260.0
1820,-884.0,444.0,160.0
1836,-884.0,444.0,160.0
1852,-884.0,444.0,160.0
1869,-884.0,444.0,160.0
1885,-884.0,444.0,160.0
1903,-884.0,444.0,160.0
1920,-908.0,428.0,124.0
1935,-908.0,428.0,124.0
1952,-908.0,428.0,124.0
1969,-908.0,428.0,124.0
1985,-908.0,428.0,124.0
2001,-908.0,428.0,124.0
2019,-964.0,392.0,68.0
2036,-964.0,392.0,68.0
2052,-964.0,392.0,68.0
2068,-964.0,392.0,68.0
2086,-964.0,392.0,68.0
2102,-964.0,392.0,68.0
2119,-1020.0,380.0,12.0
2135,-1020.0,380.0,12.0
2152,-1020.0,380.0,12.0
2169,-1020.0,380.0,12.0
2185,-1020.0,380.0,12.0
2202,-1020.0,380.0,12.0
2218,-1020.0,380.0,12.0
2236,-996.0,312.0,-28.0
2252,-996.0,312.0,-28.0
2269,-996.0,312.0,-28.0
2286,-996.0,312.0,-28.0
2302,-996.0,312.0,-28.0
2319,-996.0,312.0,-28.0
2336,-1016.0,304.0,-72.0
2352,-1016.0,304.0,-72.0
2369,-1016.0,304.0,-72.0
2386,-1016.0,304.0,-72.0
2402,-1016.0,304.0,-72.0
2419,-1016.0,304.0,-72.0
2436,-1032.0,344.0,-116.0
2452,-1032.0,344.0,-116.0
2469,-1032.0,344.0,-116.0
2485,-1032.0,344.0,-116.0
2503,-1032.0,344.0,-116.0
2518,-1032.0,344.0,-116.0
2536,-1032.0,288.0,-124.0
2552,-1032.0,288.0,-124.0
2569,-1032.0,288.0,-124.0
2586,-1032.0,288.0,-124.0
2603,-1032.0,288.0,-124.0
2619,-1032.0,288.0,-124.0
2636,-1060.0,316.0,-144.0
2652,-1060.0,316.0,-144.0
2669,-1060.0,316.0,-144.0
2686,-1060.0,316.0,-144.0
2702,-1060.0,316.0,-144.0
2719,-1060.0,316.0,-144.0
2736,-1060.0,316.0,-144.0
2753,-988.0,288.0,-112.0
2769,-988.0,288.0,-112.0
2786,-988.0,288.0,-112.0
2803,-988.0,288.0,-112.0
2819,-988.0,288.0,-112.0
2836,-988.0,288.0,-112.0
2853,-1028.0,252.0,-144.0
2869,-1028.0,252.0,-144.0
2885,-1028.0,252.0,-144.0
2903,-1028.0,252.0,-144.0
2919,-1028.0,252.0,-144.0
2936,-1028.0,252.0,-144.0
2952,-1056.0,324.0,-96.0
2969,-1056.0,324.0,-96.0
2985,-1056.0,324.0,-96.0
3002,-1056.0,324.0,-96.0
3020,-1056.0,324.0,-96.0
3036,-1056.0,324.0,-96.0
3053,-1028.0,256.0,-100.0
3069,-1028.0,256.0,-100.0
3086,-1028.0,256.0,-100.0
3102,-1028.0,256.0,-100.0
3119,-1028.0,256.0,-100.0
3136,-1028.0,256.0,-100.0
3152,-1028.0,256.0,-100.0
3169,-1024.0,332.0,-92.0
3186,-1024.0,332.0,-92.0
3202,-1024.0,332.0,-92.0
3218,-1024.0,332.0,-92.0
3235,-1024.0,332.0,-92.0
3253,-1024.0,332.0,-92.0
3269,-948.0,332.0,-44.0
3285,-948.0,332.0,-44.0
3303,-948.0,332.0,-44.0
3319,-948.0,332.0,-44.0
3336,-948.0,332.0,-44.0
3352,-948.0,332.0,-44.0
3369,-952.0,432.0,24.0
3386,-952.0,432.0,24.0
3402,-952.0,432.0,24.0
3419,-952.0,432.0,24.0
3436,-952.0,432.0,24.0
3452,-952.0,432.0,24.0
3469,-920.0,416.0,88.0
3486,-920.0,416.0,88.0
3503,-920.0,416.0,88.0
3519,-920.0,416.0,88.0
3536,-920.0,416.0,88.0
3552,-920.0,416.0,88.0
3568,-912.0,436.0,136.0
3585,-912.0,436.0,136.0
3602,-912.0,436.0,136.0
3619,-912.0,436.0,136.0
3636,-912.0,436.0,136.0
3652,-912.0,436.0,136.0
3670,-912.0,436.0,136.0
3686,-884.0,400.0,132.0
3702,-884.0,400.0,132.0
3719,-884.0,400.0,132.0
3735,-884.0,400.0,132.0
3753,-884.0,400.0,132.0
3770,-884.0,400.0,132.0
3786,-916.0,428.0,168.0
3802,-916.0,428.0,168.0
3819,-916.0,428.0,168.0
3835,-916.0,428.0,168.0
3853,-916.0,428.0,168.0
3870,-916.0,428.0,168.0
