MILLIS,X,Y,Z
1322,-1076.0,16.0,-216.0
1448,-1052.0,-252.0,-232.0
1466,-1052.0,-252.0,-232.0
1481,-1052.0,-252.0,-232.0
1500,-1052.0,-252.0,-232.0
1517,-1052.0,-252.0,-232.0
1534,-1052.0,-252.0,-232.0
1551,-1044.0,-124.0,-244.0
1569,-1044.0,-124.0,-244.0
1584,-1044.0,-124.0,-244.0
1602,-1044.0,-124.0,-244.0
1619,-1044.0,-124.0,-244.0
1635,-1044.0,-124.0,-244.0
1652,-1044.0,-124.0,-244.0
1668,-1048.0,-144.0,-240.0
1685,-1048.0,-144.0,-240.0
1702,-1048.0,-144.0,-240.0
1718,-1048.0,-144.0,-240.0
1735,-1048.0,-144.0,-240.0
1752,-1048.0,-144.0,-240.0
1768,-1016.0,-20.0,-228.0
1784,-1016.0,-20.0,-228.0
1801,-1016.0,-20.0,-228.0
1818,-1016.0,-20.0,-228.0
1834,-1016.0,-20.0,-228.0
1850,-1016.0,-20.0,-228.0
1868,-1048.0,-8.0,-212.0
1884,-1048.0,-8.0,-212.0
1900,-1048.0,-8.0,-212.0
1917,-1048.0,-8.0,-212.0
1934,-1048.0,-8.0,-212.0
1951,-1048.0,-8.0,-212.0
1967,-1024.0,16.0,-220.0
1984,-1024.0,16.0,-220.0
2001,-1024.0,16.0,-220.0
2017,-1024.0,16.0,-220.0
2034,-1024.0,16.0,-220.0
2050,-1024.0,16.0,-220.0
2067,-1024.0,16.0,-220.0
2084,-1068.0,-12.0,-256.0
2101,-1068.0,-12.0,-256.0
2117,-1068.0,-12.0,-256.0
2134,-1068.0,-12.0,-256.0
2150,-1068.0,-12.0,-256.0
2168,-1068.0,-12.0,-256.0
2184,-1044.0,0.0,-216.0
2200,-1044.0,0.0,-216.0
2218,-1044.0,0.0,-216.0
2234,-1044.0,0.0,-216.0
2251,-1044.0,0.0,-216.0
2268,-1044.0,0.0,-216.0
2284,-1048.0,8.0,-176.0
2301,-1048.0,8.0,-176.0
2317,-1048.0,8.0,-176.0
2334,-1048.0,8.0,-176.0
2350,-1048.0,8.0,-176.0
2368,-1048.0,8.0,-176.0
2384,-1072.0,8.0,-136.0
2401,-1072.0,8.0,-136.0
2417,-1072.0,8.0,-136.0
2435,-1072.0,8.0,-136.0
2451,-1072.0,8.0,-136.0
2467,-1072.0,8.0,-136.0
2484,-1072.0,8.0,-136.0
2501,-1064.0,24.0,-160.0
2518,-1064.0,24.0,-160.0
2534,-1064.0,24.0,-160.0
2550,-1064.0,24.0,-160.0
2568,-1064.0,24.0,-160.0
2584,-1064.0,24.0,-160.0
2602,-1108.0,16.0,-164.0
2617,-1108.0,16.0,-164.0
2635,-1108.0,16.0,-164.0
2650,-1108.0,16.0,-164.0
2668,-1108.0,16.0,-164.0
2684,-1108.0,16.0,-164.0
2701,-1056.0,-120.0,-116.0
2718,-1056.0,-120.0,-116.0
2735,-1056.0,-120.0,-116.0
2752,-1056.0,-120.0,-116.0
2768,-1056.0,-120.0,-116.0
2784,-1056.0,-120.0,-116.0
2802,-1052.0,-204.0,-96.0
2818,-1052.0,-204.0,-96.0
2835,-1052.0,-204.0,-96.0
2851,-1052.0,-204.0,-96.0
2868,-1052.0,-204.0,-96.0
2884,-1052.0,-204.0,-96.0
2901,-1028.0,-312.0,-120.0
2917,-1028.0,-312.0,-120.0
2934,-1028.0,-312.0,-120.0
2951,-1028.0,-312.0,-120.0
2968,-1028.0,-312.0,-120.0
2984,-1028.0,-312.0,-120.0
3002,-1028.0,-312.0,-120.0
3017,-1000.0,-360.0,-128.0
3034,-1000.0,-360.0,-128.0
3052,-1000.0,-360.0,-128.0
3068,-1000.0,-360.0,-128.0
3085,-1000.0,-360.0,-128.0
3101,-1000.0,-360.0,-128.0
3118,-1096.0,-168.0,-120.0
3134,-1096.0,-168.0,-120.0
3151,-1096.0,-168.0,-120.0
3168,-1096.0,-168.0,-120.0
3184,-1096.0,-168.0,-120.0
3201,-1096.0,-168.0,-120.0
3217,-940.0,-20.0,-164.0
3234,-940.0,-20.0,-164.0
3251,-940.0,-20.0,-164.0
3267,-940.0,-20.0,-164.0
3285,-940.0,-20.0,-164.0
3301,-940.0,-20.0,-164.0
3318,-1040.0,32.0,-256.0
3334,-1040.0,32.0,-256.0
3351,-1040.0,32.0,-256.0
3368,-1040.0,32.0,-256.0
3384,-1040.0,32.0,-256.0
3401,-1040.0,32.0,-256.0
3418,-956.0,-124.0,-248.0
3435,-956.0,-124.0,-248.0
3451,-956.0,-124.0,-248.0
3468,-956.0,-124.0,-248.0
3484,-956.0,-124.0,-248.0
3501,-956.0,-124.0,-248.0
3518,-956.0,-124.0,-248.0
3534,-1048.0,-96.0,-288.0
3551,-1048.0,-96.0,-288.0
3568,-1048.0,-96.0,-288.0
3584,-1048.0,-96.0,-288.0
3601,-1048.0,-96.0,-288.0
3618,-1048.0,-96.0,-288.0
3634,-1052.0,-100.0,-284.0
3651,-1052.0,-100.0,-284.0
3668,-1052.0,-100.0,-284.0
3684,-1052.0,-100.0,-284.0
3700,-1052.0,-100.0,-284.0
3717,-1052.0,-100.0,-284.0
3734,-1056.0,-108.0,-320.0
3751,-1056.0,-108.0,-320.0
3767,-1056.0,-108.0,-320.0
3785,-1056.0,-108.0,-320.0
3801,-1056.0,-108.0,-320.0
3817,-1056.0,-108.0,-320.0
3834,-1140.0,-108.0,-392.0
3851,-1140.0,-108.0,-392.0
3867,-1140.0,-108.0,-392.0
3885,-1140.0,-108.0,-392.0
3901,-1140.0,-108.0,-392.0
3918,-1140.0,-108.0,-392.0
3935,-1140.0,-108.0,-392.0
3951,-996.0,-8.0,-376.0
3968,-996.0,-8.0,-376.0
3984,-996.0,-8.0,-376.0
4001,-996.0,-8.0,-376.0
4018,-996.0,-8.0,-376.0
4034,-996.0,-8.0,-376.0
4051,-912.0,228.0,-260.0
4067,-912.0,228.0,-260.0
4084,-912.0,228.0,-260.0
4101,-912.0,228.0,-260.0
4118,-912.0,228.0,-260.0
4134,-912.0,228.0,-260.0
4151,-1040.0,124.0,-368.0
4168,-1040.0,124.0,-368.0
4185,-1040.0,124.0,-368.0
4201,-1040.0,124.0,-368.0
4217,-1040.0,124.0,-368.0
4235,-1040.0,124.0,-368.0
4251,-1352.0,-220.0,-380.0
4268,-1352.0,-220.0,-380.0
4284,-1352.0,-220.0,-380.0
4301,-1352.0,-220.0,-380.0
4318,-1352.0,-220.0,-380.0
4335,-1352.0,-220.0,-380.0
4352,-1032.0,-20.0,-112.0
4368,-1032.0,-20.0,-112.0
4384,-1032.0,-20.0,-112.0
4401,-1032.0,-20.0,-112.0
4417,-1032.0,-20.0,-112.0
4435,-1032.0,-20.0,-112.0
4451,-1032.0,-20.0,-112.0
4468,-916.0,-180.0,-44.0
4484,-916.0,-180.0,-44.0
4501,-916.0,-180.0,-44.0
4518,-916.0,-180.0,-44.0
4534,-916.0,-180.0,-44.0
4551,-916.0,-180.0,-44.0
4567,-1076.0,-296.0,-8.0
4584,-1076.0,-296.0,-8.0
4601,-1076.0,-296.0,-8.0
4618,-1076.0,-296.0,-8.0
4635,-1076.0,-296.0,-8.0
4651,-1076.0,-296.0,-8.0
4667,-1032.0,-288.0,24.0
4685,-1032.0,-288.0,24.0
4701,-1032.0,-288.0,24.0
4718,-1032.0,-288.0,24.0
4734,-1032.0,-288.0,24.0
4751,-1032.0,-288.0,24.0
4768,-956.0,-228.0,44.0
4784,-956.0,-228.0,44.0
4801,-956.0,-228.0,44.0
4817,-956.0,-228.0,44.0
4834,-956.0,-228.0,44.0
4851,-956.0,-228.0,44.0
4868,-956.0,-228.0,44.0
4885,-1016.0,-272.0,-8.0
4901,-1016.0,-272.0,-8.0
4918,-1016.0,-272.0,-8.0
4934,-1016.0,-272.0,-8.0
4951,-1016.0,-272.0,-8.0
4970,-1016.0,-272.0,-8.0
4988,-1060.0,-236.0,-12.0
5007,-1060.0,-236.0,-12.0
5025,-1060.0,-236.0,-12.0
5042,-1060.0,-236.0,-12.0
5059,-1060.0,-236.0,-12.0
5075,-1040.0,-284.0,-52.0
5093,-1040.0,-284.0,-52.0
5109,-1040.0,-284.0,-52.0
5126,-1040.0,-284.0,-52.0
5142,-1040.0,-284.0,-52.0
5159,-1040.0,-284.0,-52.0
5175,-1040.0,-284.0,-52.0
5192,-1020.0,-272.0,-92.0
5209,-1020.0,-272.0,-92.0
5225,-1020.0,-272.0,-92.0
5242,-1020.0,-272.0,-92.0
5259,-1020.0,-272.0,-92.0
5276,-1020.0,-272.0,-92.0
5293,-1040.0,-244.0,-128.0
5309,-1040.0,-244.0,-128.0
5326,-1040.0,-244.0,-128.0
5342,-1040.0,-244.0,-128.0
5359,-1040.0,-244.0,-128.0
5376,-1040.0,-244.0,-128.0
5392,-1020.0,-184.0,-148.0
5409,-1020.0,-184.0,-148.0
5425,-1020.0,-184.0,-148.0
5442,-1020.0,-184.0,-148.0
5459,-1020.0,-184.0,-148.0
5476,-1020.0,-184.0,-148.0
5492,-988.0,-192.0,-188.0
5509,-988.0,-192.0,-188.0
5525,-988.0,-192.0,-188.0
5542,-988.0,-192.0,-188.0
5558,-988.0,-192.0,-188.0
5576,-988.0,-192.0,-188.0
5592,-988.0,-192.0,-188.0
5609,-1048.0,-124.0,-240.0
5625,-1048.0,-124.0,-240.0
5642,-1048.0,-124.0,-240.0
5659,-1048.0,-124.0,-240.0
5676,-1048.0,-124.0,-240.0
5692,-1048.0,-124.0,-240.0
5709,-1164.0,-12.0,-276.0
5725,-1164.0,-12.0,-276.0
5743,-1164.0,-12.0,-276.0
5759,-1164.0,-12.0,-276.0
5776,-1164.0,-12.0,-276.0
5792,-1164.0,-12.0,-276.0
5809,-1080.0,100.0,-308.0
5825,-1080.0,100.0,-308.0
5842,-1080.0,100.0,-308.0
5858,-1080.0,100.0,-308.0
5876,-1080.0,100.0,-308.0
5892,-1080.0,100.0,-308.0
5909,-972.0,24.0,-268.0
5925,-972.0,24.0,-268.0
5942,-972.0,24.0,-268.0
5959,-972.0,24.0,-268.0
5975,-972.0,24.0,-268.0
5993,-972.0,24.0,-268.0
6009,-972.0,24.0,-268.0
6026,-1028.0,-36.0,-288.0
6043,-1028.0,-36.0,-288.0
6060,-1028.0,-36.0,-288.0
6076,-1028.0,-36.0,-288.0
6092,-1028.0,-36.0,-288.0
6109,-1028.0,-36.0,-288.0
6126,-1136.0,-4.0,-348.0
6143,-1136.0,-4.0,-348.0
6159,-1136.0,-4.0,-348.0
6176,-1136.0,-4.0,-348.0
6193,-1136.0,-4.0,-348.0
6209,-1136.0,-4.0,-348.0
6226,-1052.0,152.0,-384.0
6242,-1052.0,152.0,-384.0
6259,-1052.0,152.0,-384.0
6275,-1052.0,152.0,-384.0
6292,-1052.0,152.0,-384.0
6309,-1052.0,152.0,-384.0
6326,-992.0,212.0,-292.0
6343,-992.0,212.0,-292.0
6360,-992.0,212.0,-292.0
6375,-992.0,212.0,-292.0
6393,-992.0,212.0,-292.0
6409,-992.0,212.0,-292.0
6426,-1068.0,-28.0,-228.0
6443,-1068.0,-28.0,-228.0
6459,-1068.0,-28.0,-228.0
6476,-1068.0,-28.0,-228.0
6492,-1068.0,-28.0,-228.0
6509,-1068.0,-28.0,-228.0
6526,-1068.0,-28.0,-228.0
6543,-1064.0,64.0,-152.0
6560,-1064.0,64.0,-152.0
6576,-1064.0,64.0,-152.0
6593,-1064.0,64.0,-152.0
6609,-1064.0,64.0,-152.0
6626,-1064.0,64.0,-152.0
6642,-1044.0,-88.0,-124.0
6659,-1044.0,-88.0,-124.0
6676,-1044.0,-88.0,-124.0
6692,-1044.0,-88.0,-124.0
6709,-1044.0,-88.0,-124.0
6726,-1044.0,-88.0,-124.0
6742,-1096.0,-128.0,-100.0
6759,-1096.0,-128.0,-100.0
6775,-1096.0,-128.0,-100.0
6792,-1096.0,-128.0,-100.0
6809,-1096.0,-128.0,-100.0
6825,-1096.0,-128.0,-100.0
6843,-1068.0,-68.0,-80.0
6860,-1068.0,-68.0,-80.0
6876,-1068.0,-68.0,-80.0
6893,-1068.0,-68.0,-80.0
6909,-1068.0,-68.0,-80.0
6926,-1068.0,-68.0,-80.0
6943,-1056.0,-88.0,-108.0
6959,-1056.0,-88.0,-108.0
6976,-1056.0,-88.0,-108.0
6993,-1056.0,-88.0,-108.0
7009,-1056.0,-88.0,-108.0
7026,-1056.0,-88.0,-108.0
7042,-1056.0,-88.0,-108.0
7059,-1056.0,-184.0,-120.0
7076,-1056.0,-184.0,-120.0
7092,-1056.0,-184.0,-120.0
7109,-1056.0,-184.0,-120.0
7126,-1056.0,-184.0,-120.0
7142,-1056.0,-184.0,-120.0
7159,-1012.0,-200.0,-148.0
7176,-1012.0,-200.0,-148.0
7192,-1012.0,-200.0,-148.0
7209,-1012.0,-200.0,-148.0
7226,-1012.0,-200.0,-148.0
7242,-1012.0,-200.0,-148.0
7259,-1052.0,-196.0,-140.0
7277,-1052.0,-196.0,-140.0
7293,-1052.0,-196.0,-140.0
7310,-1052.0,-196.0,-140.0
7326,-1052.0,-196.0,-140.0
7343,-1052.0,-196.0,-140.0
7359,-1000.0,-120.0,-128.0
7376,-1000.0,-120.0,-128.0
7392,-1000.0,-120.0,-128.0
7410,-1000.0,-120.0,-128.0
7426,-1000.0,-120.0,-128.0
7443,-1000.0,-120.0,-128.0
7459,-1000.0,-120.0,-128.0
7475,-1020.0,-108.0,-124.0
7493,-1020.0,-108.0,-124.0
7509,-1020.0,-108.0,-124.0
7526,-1020.0,-108.0,-124.0
7543,-1020.0,-108.0,-124.0
7559,-1020.0,-108.0,-124.0
7575,-992.0,-36.0,-180.0
7593,-992.0,-36.0,-180.0
7609,-992.0,-36.0,-180.0
7627,-992.0,-36.0,-180.0
7642,-992.0,-36.0,-180.0
7659,-992.0,-36.0,-180.0
7677,-1152.0,20.0,-204.0
7693,-1152.0,20.0,-204.0
7710,-1152.0,20.0,-204.0
7727,-1152.0,20.0,-204.0
7743,-1152.0,20.0,-204.0
7760,-1152.0,20.0,-204.0
7776,-1120.0,48.0,-220.0
7793,-1120.0,48.0,-220.0
7809,-1120.0,48.0,-220.0
7826,-1120.0,48.0,-220.0
7842,-1120.0,48.0,-220.0
7860,-1120.0,48.0,-220.0
7876,-1032.0,-28.0,-172.0
7893,-1032.0,-28.0,-172.0
7909,-1032.0,-28.0,-172.0
7926,-1032.0,-28.0,-172.0
7943,-1032.0,-28.0,-172.0
7960,-1032.0,-28.0,-172.0
7976,-1032.0,-28.0,-172.0
7993,-1024.0,-100.0,-192.0
8009,-1024.0,-100.0,-192.0
8025,-1024.0,-100.0,-192.0
8043,-1024.0,-100.0,-192.0
8060,-1024.0,-100.0,-192.0
8077,-1024.0,-100.0,-192.0
8093,-1152.0,-196.0,-312.0
8110,-1152.0,-196.0,-312.0
8126,-1152.0,-196.0,-312.0
8143,-1152.0,-196.0,-312.0
8160,-1152.0,-196.0,-312.0
8177,-1152.0,-196.0,-312.0
8192,-1064.0,-156.0,-256.0
8209,-1064.0,-156.0,-256.0
8226,-1064.0,-156.0,-256.0
8243,-1064.0,-156.0,-256.0
8259,-1064.0,-156.0,-256.0
8276,-1064.0,-156.0,-256.0
8293,-1008.0,-188.0,-236.0
8310,-1008.0,-188.0,-236.0
8327,-1008.0,-188.0,-236.0
8342,-1008.0,-188.0,-236.0
8360,-1008.0,-188.0,-236.0
8377,-1008.0,-188.0,-236.0
8392,-1008.0,-188.0,-236.0
8410,-1108.0,0.0,-188.0
8426,-1108.0,0.0,-188.0
8444,-1108.0,0.0,-188.0
8459,-1108.0,0.0,-188.0
8476,-1108.0,0.0,-188.0
8492,-1108.0,0.0,-188.0
8509,-944.0,-4.0,-236.0
8525,-944.0,-4.0,-236.0
8543,-944.0,-4.0,-236.0
8560,-944.0,-4.0,-236.0
8577,-944.0,-4.0,-236.0
8593,-944.0,-4.0,-236.0
8610,-1116.0,-24.0,-200.0
8626,-1116.0,-24.0,-200.0
8643,-1116.0,-24.0,-200.0
8660,-1116.0,-24.0,-200.0
8679,-1116.0,-24.0,-200.0
8698,-1116.0,-24.0,-200.0
8716,-1128.0,68.0,-184.0
8734,-1128.0,68.0,-184.0
8751,-1128.0,68.0,-184.0
8767,-1128.0,68.0,-184.0
8783,-1128.0,68.0,-184.0
8800,-1128.0,68.0,-184.0
8817,-1072.0,160.0,-196.0
8834,-1072.0,160.0,-196.0
8850,-1072.0,160.0,-196.0
8867,-1072.0,160.0,-196.0
8884,-1072.0,160.0,-196.0
8900,-1072.0,160.0,-196.0
8916,-1040.0,-188.0,-152.0
8933,-1040.0,-188.0,-152.0
8950,-1040.0,-188.0,-152.0
8967,-1040.0,-188.0,-152.0
8983,-1040.0,-188.0,-152.0
9000,-1040.0,-188.0,-152.0
9017,-1016.0,-116.0,-116.0
9033,-1016.0,-116.0,-116.0
9050,-1016.0,-116.0,-116.0
9066,-1016.0,-116.0,-116.0
9083,-1016.0,-116.0,-116.0
9100,-1016.0,-116.0,-116.0
9116,-1016.0,-116.0,-116.0
9133,-1088.0,-84.0,-140.0
9150,-1088.0,-84.0,-140.0
9166,-1088.0,-84.0,-140.0
9183,-1088.0,-84.0,-140.0
9200,-1088.0,-84.0,-140.0
9216,-1088.0,-84.0,-140.0
9233,-1040.0,-64.0,-124.0
9249,-1040.0,-64.0,-124.0
9266,-1040.0,-64.0,-124.0
9284,-1040.0,-64.0,-124.0
9299,-1040.0,-64.0,-124.0
9317,-1040.0,-64.0,-124.0
9334,-1088.0,236.0,-64.0
9350,-1088.0,236.0,-64.0
9367,-1088.0,236.0,-64.0
9384,-1088.0,236.0,-64.0
9400,-1088.0,236.0,-64.0
9417,-1088.0,236.0,-64.0
9433,-1044.0,196.0,-120.0
9450,-1044.0,196.0,-120.0
9467,-1044.0,196.0,-120.0
9483,-1044.0,196.0,-120.0
9500,-1044.0,196.0,-120.0
9517,-1044.0,196.0,-120.0
9533,-1044.0,196.0,-120.0
9550,-1084.0,56.0,-80.0
9566,-1084.0,56.0,-80.0
9584,-1084.0,56.0,-80.0
9600,-1084.0,56.0,-80.0
9617,-1084.0,56.0,-80.0
9633,-1084.0,56.0,-80.0
9650,-976.0,-36.0,-176.0
9666,-976.0,-36.0,-176.0
9684,-976.0,-36.0,-176.0
9700,-976.0,-36.0,-176.0
9717,-976.0,-36.0,-176.0
9733,-976.0,-36.0,-176.0
9751,-1012.0,-36.0,-156.0
9767,-1012.0,-36.0,-156.0
9784,-1012.0,-36.0,-156.0
9800,-1012.0,-36.0,-156.0
9817,-1012.0,-36.0,-156.0
