MILLIS,X,Y,Z
1362,-1260.0,-88.0,-576.0
1474,-924.0,-184.0,-172.0
1491,-1024.0,-128.0,-128.0
1508,-1024.0,-128.0,-128.0
1527,-1024.0,-128.0,-128.0
1544,-1024.0,-128.0,-128.0
1562,-1024.0,-128.0,-128.0
1579,-1024.0,-128.0,-128.0
1595,-1016.0,-212.0,-168.0
1612,-1016.0,-212.0,-168.0
1628,-1016.0,-212.0,-168.0
1646,-1016.0,-212.0,-168.0
1662,-1016.0,-212.0,-168.0
1679,-1016.0,-212.0,-168.0
1696,-980.0,-236.0,-16.0
1713,-980.0,-236.0,-16.0
1729,-980.0,-236.0,-16.0
1746,-980.0,-236.0,-16.0
1762,-980.0,-236.0,-16.0
1778,-980.0,-236.0,-16.0
1796,-988.0,-244.0,44.0
1812,-988.0,-244.0,44.0
1829,-988.0,-244.0,44.0
1845,-988.0,-244.0,44.0
1862,-988.0,-244.0,44.0
1878,-988.0,-244.0,44.0
1895,-988.0,-244.0,44.0
1912,-1028.0,-128.0,48.0
1927,-1028.0,-128.0,48.0
1945,-1028.0,-128.0,48.0
1961,-1028.0,-128.0,48.0
1978,-1028.0,-128.0,48.0
1994,-1028.0,-128.0,48.0
2011,-1048.0,-116.0,8.0
2029,-1048.0,-116.0,8.0
2045,-1048.0,-116.0,8.0
2061,-1048.0,-116.0,8.0
2078,-1048.0,-116.0,8.0
2094,-1048.0,-116.0,8.0
2112,-1056.0,-92.0,-56.0
2128,-1056.0,-92.0,-56.0
2145,-1056.0,-92.0,-56.0
2162,-1056.0,-92.0,-56.0
2178,-1056.0,-92.0,-56.0
2195,-1056.0,-92.0,-56.0
2211,-1020.0,-76.0,-56.0
2228,-1020.0,-76.0,-56.0
2245,-1020.0,-76.0,-56.0
2261,-1020.0,-76.0,-56.0
2279,-1020.0,-76.0,-56.0
2296,-1020.0,-76.0,-56.0
2312,-1088.0,-48.0,-112.0
2329,-1088.0,-48.0,-112.0
2345,-1088.0,-48.0,-112.0
2362,-1088.0,-48.0,-112.0
2378,-1088.0,-48.0,-112.0
2395,-1088.0,-48.0,-112.0
2411,-1088.0,-48.0,-112.0
2428,-1064.0,-12.0,-164.0
2445,-1064.0,-12.0,-164.0
2462,-1064.0,-12.0,-164.0
2478,-1064.0,-12.0,-164.0
2496,-1064.0,-12.0,-164.0
2512,-1064.0,-12.0,-164.0
2528,-1048.0,-20.0,-184.0
2545,-1048.0,-20.0,-184.0
2562,-1048.0,-20.0,-184.0
2578,-1048.0,-20.0,-184.0
2596,-1048.0,-20.0,-184.0
2611,-1048.0,-20.0,-184.0
2628,-1020.0,-20.0,-184.0
2645,-1020.0,-20.0,-184.0
2662,-1020.0,-20.0,-184.0
2679,-1020.0,-20.0,-184.0
2695,-1020.0,-20.0,-184.0
2712,-1020.0,-20.0,-184.0
2729,-1032.0,-44.0,-240.0
2745,-1032.0,-44.0,-240.0
2762,-1032.0,-44.0,-240.0
2779,-1032.0,-44.0,-240.0
2795,-1032.0,-44.0,-240.0
2812,-1032.0,-44.0,-240.0
2829,-1052.0,4.0,-244.0
2845,-1052.0,4.0,-244.0
2862,-1052.0,4.0,-244.0
2878,-1052.0,4.0,-244.0
2895,-1052.0,4.0,-244.0
2911,-1052.0,4.0,-244.0
2929,-1052.0,4.0,-244.0
2945,-1056.0,32.0,-244.0
2962,-1056.0,32.0,-244.0
2978,-1056.0,32.0,-244.0
2995,-1056.0,32.0,-244.0
3011,-1056.0,32.0,-244.0
3029,-1056.0,32.0,-244.0
3045,-1032.0,44.0,-268.0
3061,-1032.0,44.0,-268.0
3078,-1032.0,44.0,-268.0
3095,-1032.0,44.0,-268.0
3112,-1032.0,44.0,-268.0
3128,-1032.0,44.0,-268.0
3145,-1028.0,48.0,-300.0
3161,-1028.0,48.0,-300.0
3178,-1028.0,48.0,-300.0
3195,-1028.0,48.0,-300.0
3212,-1028.0,48.0,-300.0
3228,-1028.0,48.0,-300.0
3245,-1024.0,60.0,-280.0
3261,-1024.0,60.0,-280.0
3278,-1024.0,60.0,-280.0
