MILLIS,X,Y,Z
1338,-944.0,116.0,32.0
1459,-1020.0,208.0,-28.0
1474,-1104.0,188.0,-28.0
1491,-1104.0,188.0,-28.0
1510,-1104.0,188.0,-28.0
1528,-1104.0,188.0,-28.0
1547,-1104.0,188.0,-28.0
1565,-1104.0,188.0,-28.0
1585,-1000.0,172.0,0.0
1601,-1000.0,172.0,0.0
1617,-1000.0,172.0,0.0
1635,-1000.0,172.0,0.0
1651,-1000.0,172.0,0.0
1668,-1000.0,172.0,0.0
1685,-1028.0,24.0,-84.0
1703,-1028.0,24.0,-84.0
1718,-1028.0,24.0,-84.0
1735,-1028.0,24.0,-84.0
1752,-1028.0,24.0,-84.0
1768,-1028.0,24.0,-84.0
1784,-1132.0,-76.0,-124.0
1801,-1132.0,-76.0,-124.0
1818,-1132.0,-76.0,-124.0
1835,-1132.0,-76.0,-124.0
1851,-1132.0,-76.0,-124.0
1868,-1132.0,-76.0,-124.0
1884,-1016.0,80.0,-184.0
1901,-1016.0,80.0,-184.0
1917,-1016.0,80.0,-184.0
1934,-1016.0,80.0,-184.0
1951,-1016.0,80.0,-184.0
1968,-1016.0,80.0,-184.0
1984,-1080.0,32.0,-252.0
2001,-1080.0,32.0,-252.0
2017,-1080.0,32.0,-252.0
2034,-1080.0,32.0,-252.0
2050,-1080.0,32.0,-252.0
2067,-1080.0,32.0,-252.0
2084,-1080.0,32.0,-252.0
2101,-1016.0,-76.0,-184.0
2117,-1016.0,-76.0,-184.0
2134,-1016.0,-76.0,-184.0
2151,-1016.0,-76.0,-184.0
2168,-1016.0,-76.0,-184.0
2184,-1016.0,-76.0,-184.0
2200,-1012.0,-96.0,-188.0
2218,-1012.0,-96.0,-188.0
2235,-1012.0,-96.0,-188.0
2251,-1012.0,-96.0,-188.0
2268,-1012.0,-96.0,-188.0
2284,-1012.0,-96.0,-188.0
2301,-1004.0,8.0,-276.0
2318,-1004.0,8.0,-276.0
2335,-1004.0,8.0,-276.0
2351,-1004.0,8.0,-276.0
2367,-1004.0,8.0,-276.0
2384,-1004.0,8.0,-276.0
2401,-1020.0,-180.0,-232.0
2417,-1020.0,-180.0,-232.0
2434,-1020.0,-180.0,-232.0
2451,-1020.0,-180.0,-232.0
2468,-1020.0,-180.0,-232.0
2484,-1020.0,-180.0,-232.0
2501,-1144.0,-152.0,-200.0
2518,-1144.0,-152.0,-200.0
2534,-1144.0,-152.0,-200.0
2551,-1144.0,-152.0,-200.0
2567,-1144.0,-152.0,-200.0
2584,-1144.0,-152.0,-200.0
2602,-1144.0,-152.0,-200.0
2618,-1096.0,-160.0,-124.0
2635,-1096.0,-160.0,-124.0
2651,-1096.0,-160.0,-124.0
2669,-1096.0,-160.0,-124.0
2684,-1096.0,-160.0,-124.0
2701,-1096.0,-160.0,-124.0
2718,-944.0,-132.0,-116.0
2734,-944.0,-132.0,-116.0
2751,-944.0,-132.0,-116.0
2768,-944.0,-132.0,-116.0
2785,-944.0,-132.0,-116.0
2801,-944.0,-132.0,-116.0
2818,-1024.0,-220.0,-112.0
2834,-1024.0,-220.0,-112.0
2851,-1024.0,-220.0,-112.0
2868,-1024.0,-220.0,-112.0
2885,-1024.0,-220.0,-112.0
2901,-1024.0,-220.0,-112.0
