MILLIS,X,Y,Z
1373,-1052.0,-52.0,-228.0
1498,-1036.0,-128.0,-212.0
1514,-1036.0,-128.0,-212.0
1531,-1036.0,-128.0,-212.0
1550,-1036.0,-128.0,-212.0
1567,-1036.0,-128.0,-212.0
1585,-1036.0,-128.0,-212.0
1601,-1064.0,-164.0,-180.0
1617,-1064.0,-164.0,-180.0
1635,-1064.0,-164.0,-180.0
1651,-1064.0,-164.0,-180.0
1667,-1064.0,-164.0,-180.0
1683,-1064.0,-164.0,-180.0
1701,-1248.0,88.0,-100.0
1718,-1248.0,88.0,-100.0
1735,-1248.0,88.0,-100.0
1750,-1248.0,88.0,-100.0
1767,-1248.0,88.0,-100.0
1783,-1248.0,88.0,-100.0
1801,-968.0,56.0,-280.0
1817,-968.0,56.0,-280.0
1834,-968.0,56.0,-280.0
1851,-968.0,56.0,-280.0
1867,-968.0,56.0,-280.0
1884,-968.0,56.0,-280.0
1900,-1116.0,188.0,-228.0
1917,-1116.0,188.0,-228.0
1933,-1116.0,188.0,-228.0
1950,-1116.0,188.0,-228.0
1967,-1116.0,188.0,-228.0
1983,-1116.0,188.0,-228.0
2000,-1116.0,188.0,-228.0
2016,-968.0,344.0,-232.0
2033,-968.0,344.0,-232.0
2049,-968.0,344.0,-232.0
2066,-968.0,344.0,-232.0
2083,-968.0,344.0,-232.0
2100,-968.0,344.0,-232.0
2116,-1000.0,228.0,-180.0
2134,-1000.0,228.0,-180.0
2150,-1000.0,228.0,-180.0
2166,-1000.0,228.0,-180.0
2183,-1000.0,228.0,-180.0
2199,-1000.0,228.0,-180.0
2217,-1032.0,292.0,-180.0
2233,-1032.0,292.0,-180.0
2250,-1032.0,292.0,-180.0
2267,-1032.0,292.0,-180.0
2284,-1032.0,292.0,-180.0
2300,-1032.0,292.0,-180.0
2317,-1004.0,244.0,-204.0
2333,-1004.0,244.0,-204.0
2350,-1004.0,244.0,-204.0
2367,-1004.0,244.0,-204.0
2383,-1004.0,244.0,-204.0
2401,-1004.0,244.0,-204.0
2417,-1004.0,244.0,-204.0
2434,-1020.0,304.0,-192.0
2450,-1020.0,304.0,-192.0
2467,-1020.0,304.0,-192.0
2484,-1020.0,304.0,-192.0
2500,-1020.0,304.0,-192.0
2517,-1020.0,304.0,-192.0
2534,-972.0,256.0,-180.0
2550,-972.0,256.0,-180.0
2567,-972.0,256.0,-180.0
2584,-972.0,256.0,-180.0
2600,-972.0,256.0,-180.0
2617,-972.0,256.0,-180.0
2634,-1116.0,76.0,-236.0
2651,-1116.0,76.0,-236.0
2667,-1116.0,76.0,-236.0
2684,-1116.0,76.0,-236.0
2701,-1116.0,76.0,-236.0
2717,-1116.0,76.0,-236.0
2734,-1128.0,-64.0,-132.0
2750,-1128.0,-64.0,-132.0
2767,-1128.0,-64.0,-132.0
2784,-1128.0,-64.0,-132.0
2801,-1128.0,-64.0,-132.0
2817,-1128.0,-64.0,-132.0
2833,-1112.0,36.0,-100.0
2850,-1112.0,36.0,-100.0
2867,-1112.0,36.0,-100.0
2884,-1112.0,36.0,-100.0
2900,-1112.0,36.0,-100.0
2917,-1112.0,36.0,-100.0
2933,-1112.0,36.0,-100.0
2950,-1008.0,-40.0,-200.0
2967,-1008.0,-40.0,-200.0
2983,-1008.0,-40.0,-200.0
3000,-1008.0,-40.0,-200.0
3017,-1008.0,-40.0,-200.0
3034,-1008.0,-40.0,-200.0
3050,-1056.0,-44.0,-208.0
3067,-1056.0,-44.0,-208.0
3084,-1056.0,-44.0,-208.0
3100,-1056.0,-44.0,-208.0
3118,-1056.0,-44.0,-208.0
3133,-1056.0,-44.0,-208.0
3151,-1008.0,-52.0,-236.0
3167,-1008.0,-52.0,-236.0
3184,-1008.0,-52.0,-236.0
3200,-1008.0,-52.0,-236.0
3217,-1008.0,-52.0,-236.0
3233,-1008.0,-52.0,-236.0
3250,-1068.0,-20.0,-232.0
3267,-1068.0,-20.0,-232.0
3284,-1068.0,-20.0,-232.0
3300,-1068.0,-20.0,-232.0
3317,-1068.0,-20.0,-232.0
3333,-1068.0,-20.0,-232.0
3350,-1068.0,-20.0,-232.0
3366,-1076.0,-20.0,-248.0
3384,-1076.0,-20.0,-248.0
3400,-1076.0,-20.0,-248.0
3416,-1076.0,-20.0,-248.0
3433,-1076.0,-20.0,-248.0
3450,-1076.0,-20.0,-248.0
3467,-1028.0,-48.0,-264.0
3484,-1028.0,-48.0,-264.0
3500,-1028.0,-48.0,-264.0
3517,-1028.0,-48.0,-264.0
3534,-1028.0,-48.0,-264.0
3550,-1028.0,-48.0,-264.0
3566,-1052.0,-16.0,-256.0
3584,-1052.0,-16.0,-256.0
3600,-1052.0,-16.0,-256.0
3616,-1052.0,-16.0,-256.0
3634,-1052.0,-16.0,-256.0
3650,-1052.0,-16.0,-256.0
3666,-1008.0,-28.0,-232.0
3684,-1008.0,-28.0,-232.0
3700,-1008.0,-28.0,-232.0
3717,-1008.0,-28.0,-232.0
3733,-1008.0,-28.0,-232.0
3750,-1008.0,-28.0,-232.0
3767,-1048.0,-36.0,-220.0
3783,-1048.0,-36.0,-220.0
3800,-1048.0,-36.0,-220.0
3818,-1048.0,-36.0,-220.0
3834,-1048.0,-36.0,-220.0
3851,-1048.0,-36.0,-220.0
3866,-1048.0,-36.0,-220.0
3884,-1052.0,-132.0,-268.0
3900,-1052.0,-132.0,-268.0
3917,-1052.0,-132.0,-268.0
3933,-1052.0,-132.0,-268.0
3950,-1052.0,-132.0,-268.0
3967,-1052.0,-132.0,-268.0
3984,-1012.0,-136.0,-248.0
4000,-1012.0,-136.0,-248.0
4017,-1012.0,-136.0,-248.0
4033,-1012.0,-136.0,-248.0
4050,-1012.0,-136.0,-248.0
4067,-1012.0,-136.0,-248.0
4084,-1096.0,-140.0,-212.0
4100,-1096.0,-140.0,-212.0
4116,-1096.0,-140.0,-212.0
4133,-1096.0,-140.0,-212.0
4151,-1096.0,-140.0,-212.0
