MILLIS,X,Y,Z
1379,-968.0,364.0,164.0
1497,-952.0,372.0,136.0
1513,-952.0,372.0,136.0
1529,-952.0,372.0,136.0
1546,-952.0,372.0,136.0
1563,-952.0,372.0,136.0
1581,-964.0,360.0,140.0
1597,-964.0,360.0,140.0
1614,-964.0,360.0,140.0
1629,-964.0,360.0,140.0
1647,-964.0,360.0,140.0
1664,-964.0,360.0,140.0
1680,-928.0,356.0,124.0
1697,-928.0,356.0,124.0
1714,-928.0,356.0,124.0
1731,-928.0,356.0,124.0
1746,-928.0,356.0,124.0
1763,-928.0,356.0,124.0
1780,-1008.0,320.0,160.0
1797,-1008.0,320.0,160.0
1813,-1008.0,320.0,160.0
1830,-1008.0,320.0,160.0
1846,-1008.0,320.0,160.0
1863,-1008.0,320.0,160.0
1880,-1088.0,104.0,176.0
1896,-1088.0,104.0,176.0
1912,-1088.0,104.0,176.0
1930,-1088.0,104.0,176.0
1946,-1088.0,104.0,176.0
1963,-1088.0,104.0,176.0
1979,-1088.0,104.0,176.0
1995,-960.0,-80.0,156.0
2013,-960.0,-80.0,156.0
2029,-960.0,-80.0,156.0
2046,-960.0,-80.0,156.0
2062,-960.0,-80.0,156.0
2080,-960.0,-80.0,156.0
2096,-1020.0,-16.0,140.0
2112,-1020.0,-16.0,140.0
2129,-1020.0,-16.0,140.0
2146,-1020.0,-16.0,140.0
2162,-1020.0,-16.0,140.0
2179,-1020.0,-16.0,140.0
2196,-1064.0,40.0,184.0
2212,-1064.0,40.0,184.0
2229,-1064.0,40.0,184.0
2246,-1064.0,40.0,184.0
2263,-1064.0,40.0,184.0
2280,-1064.0,40.0,184.0
2297,-1060.0,84.0,196.0
2313,-1060.0,84.0,196.0
2330,-1060.0,84.0,196.0
2346,-1060.0,84.0,196.0
2363,-1060.0,84.0,196.0
2379,-1060.0,84.0,196.0
2397,-960.0,4.0,204.0
2413,-960.0,4.0,204.0
2430,-960.0,4.0,204.0
2446,-960.0,4.0,204.0
2463,-960.0,4.0,204.0
2480,-960.0,4.0,204.0
2496,-960.0,4.0,204.0
2513,-1064.0,28.0,204.0
2529,-1064.0,28.0,204.0
2546,-1064.0,28.0,204.0
2563,-1064.0,28.0,204.0
2580,-1064.0,28.0,204.0
2596,-1064.0,28.0,204.0
2614,-1036.0,140.0,140.0
2629,-1036.0,140.0,140.0
2647,-1036.0,140.0,140.0
2662,-1036.0,140.0,140.0
2680,-1036.0,140.0,140.0
2697,-1036.0,140.0,140.0
2713,-1072.0,124.0,144.0
2730,-1072.0,124.0,144.0
2746,-1072.0,124.0,144.0
2764,-1072.0,124.0,144.0
2780,-1072.0,124.0,144.0
2796,-1072.0,124.0,144.0
2813,-1016.0,196.0,136.0
2830,-1016.0,196.0,136.0
2847,-1016.0,196.0,136.0
2864,-1016.0,196.0,136.0
2879,-1016.0,196.0,136.0
2896,-1016.0,196.0,136.0
2914,-1020.0,200.0,112.0
2930,-1020.0,200.0,112.0
2947,-1020.0,200.0,112.0
2963,-1020.0,200.0,112.0
2980,-1020.0,200.0,112.0
2997,-1020.0,200.0,112.0
3013,-1020.0,200.0,112.0
3030,-988.0,204.0,148.0
3046,-988.0,204.0,148.0
3063,-988.0,204.0,148.0
3080,-988.0,204.0,148.0
3096,-988.0,204.0,148.0
3114,-988.0,204.0,148.0
3130,-960.0,264.0,164.0
3147,-960.0,264.0,164.0
3163,-960.0,264.0,164.0
3180,-960.0,264.0,164.0
3197,-960.0,264.0,164.0
3213,-960.0,264.0,164.0
3230,-996.0,288.0,164.0
3246,-996.0,288.0,164.0
3263,-996.0,288.0,164.0
3279,-996.0,288.0,164.0
3296,-996.0,288.0,164.0
3312,-996.0,288.0,164.0
3329,-988.0,12.0,192.0
3345,-988.0,12.0,192.0
3363,-988.0,12.0,192.0
3380,-988.0,12.0,192.0
3396,-988.0,12.0,192.0
3413,-988.0,12.0,192.0
3429,-988.0,12.0,192.0
3447,-1128.0,-48.0,100.0
3463,-1128.0,-48.0,100.0
3480,-1128.0,-48.0,100.0
3497,-1128.0,-48.0,100.0
3513,-1128.0,-48.0,100.0
3530,-1128.0,-48.0,100.0
3546,-996.0,124.0,132.0
3563,-996.0,124.0,132.0
3580,-996.0,124.0,132.0
3596,-996.0,124.0,132.0
3613,-996.0,124.0,132.0
3630,-996.0,124.0,132.0
3646,-1060.0,144.0,172.0
3663,-1060.0,144.0,172.0
3680,-1060.0,144.0,172.0
3696,-1060.0,144.0,172.0
3713,-1060.0,144.0,172.0
3730,-1060.0,144.0,172.0
3747,-988.0,-48.0,140.0
3762,-988.0,-48.0,140.0
3780,-988.0,-48.0,140.0
3796,-988.0,-48.0,140.0
3813,-988.0,-48.0,140.0
3830,-988.0,-48.0,140.0
3846,-1036.0,-16.0,128.0
3863,-1036.0,-16.0,128.0
3880,-1036.0,-16.0,128.0
3897,-1036.0,-16.0,128.0
3913,-1036.0,-16.0,128.0
3929,-1036.0,-16.0,128.0
3947,-1036.0,-16.0,128.0
3963,-1016.0,-8.0,112.0
3979,-1016.0,-8.0,112.0
3996,-1016.0,-8.0,112.0
4013,-1016.0,-8.0,112.0
4030,-1016.0,-8.0,112.0
4047,-1016.0,-8.0,112.0
4063,-1040.0,-4.0,104.0
4080,-1040.0,-4.0,104.0
4096,-1040.0,-4.0,104.0
4113,-1040.0,-4.0,104.0
4129,-1040.0,-4.0,104.0
4146,-1040.0,-4.0,104.0
4163,-1080.0,264.0,168.0
4180,-1080.0,264.0,168.0
4197,-1080.0,264.0,168.0
4213,-1080.0,264.0,168.0
4229,-1080.0,264.0,168.0
4246,-1080.0,264.0,168.0
4263,-992.0,208.0,176.0
4279,-992.0,208.0,176.0
4297,-992.0,208.0,176.0
4313,-992.0,208.0,176.0
4330,-992.0,208.0,176.0
4347,-992.0,208.0,176.0
4364,-960.0,288.0,184.0
4380,-960.0,288.0,184.0
4396,-960.0,288.0,184.0
4412,-960.0,288.0,184.0
4430,-960.0,288.0,184.0
4447,-960.0,288.0,184.0
4463,-960.0,288.0,184.0
4480,-1000.0,180.0,152.0
4496,-1000.0,180.0,152.0
4512,-1000.0,180.0,152.0
4530,-1000.0,180.0,152.0
4546,-1000.0,180.0,152.0
4563,-1000.0,180.0,152.0
