MILLIS,X,Y,Z
1802,-1096.0,-16.0,-44.0
1909,-944.0,12.0,40.0
1925,-944.0,12.0,40.0
1942,-944.0,12.0,40.0
1959,-944.0,12.0,40.0
1977,-1156.0,268.0,-4.0
1993,-1156.0,268.0,-4.0
2009,-1156.0,268.0,-4.0
2026,-1156.0,268.0,-4.0
2042,-1156.0,268.0,-4.0
2059,-1156.0,268.0,-4.0
2076,-1156.0,268.0,-4.0
2093,-976.0,172.0,-12.0
2109,-976.0,172.0,-12.0
2126,-976.0,172.0,-12.0
2143,-976.0,172.0,-12.0
2159,-976.0,172.0,-12.0
2175,-976.0,172.0,-12.0
2193,-1032.0,268.0,-84.0
2209,-1032.0,268.0,-84.0
2225,-1032.0,268.0,-84.0
2242,-1032.0,268.0,-84.0
2259,-1032.0,268.0,-84.0
2276,-1032.0,268.0,-84.0
2293,-964.0,176.0,-12.0
2308,-964.0,176.0,-12.0
2325,-964.0,176.0,-12.0
2342,-964.0,176.0,-12.0
2358,-964.0,176.0,-12.0
2376,-964.0,176.0,-12.0
2392,-1136.0,-72.0,-100.0
2408,-1136.0,-72.0,-100.0
2425,-1136.0,-72.0,-100.0
2442,-1136.0,-72.0,-100.0
2458,-1136.0,-72.0,-100.0
2476,-1136.0,-72.0,-100.0
2492,-1080.0,-64.0,-84.0
2509,-1080.0,-64.0,-84.0
2525,-1080.0,-64.0,-84.0
2543,-1080.0,-64.0,-84.0
2558,-1080.0,-64.0,-84.0
2576,-1080.0,-64.0,-84.0
2592,-1080.0,-64.0,-84.0
2609,-1056.0,-76.0,-92.0
2626,-1056.0,-76.0,-92.0
2642,-1056.0,-76.0,-92.0
2658,-1056.0,-76.0,-92.0
2676,-1056.0,-76.0,-92.0
2693,-1056.0,-76.0,-92.0
2709,-1060.0,-44.0,-60.0
2726,-1060.0,-44.0,-60.0
2742,-1060.0,-44.0,-60.0
2759,-1060.0,-44.0,-60.0
2775,-1060.0,-44.0,-60.0
2792,-1060.0,-44.0,-60.0
2809,-988.0,-32.0,16.0
2825,-988.0,-32.0,16.0
2842,-988.0,-32.0,16.0
2858,-988.0,-32.0,16.0
2876,-988.0,-32.0,16.0
2892,-988.0,-32.0,16.0
2909,-1012.0,-124.0,-96.0
2926,-1012.0,-124.0,-96.0
2942,-1012.0,-124.0,-96.0
2959,-1012.0,-124.0,-96.0
2975,-1012.0,-124.0,-96.0
2993,-1012.0,-124.0,-96.0
3010,-1104.0,-84.0,-40.0
3026,-1104.0,-84.0,-40.0
3042,-1104.0,-84.0,-40.0
3059,-1104.0,-84.0,-40.0
3076,-1104.0,-84.0,-40.0
3092,-1104.0,-84.0,-40.0
3109,-1104.0,-84.0,-40.0
3126,-1040.0,-48.0,-76.0
3142,-1040.0,-48.0,-76.0
3159,-1040.0,-48.0,-76.0
3175,-1040.0,-48.0,-76.0
3193,-1040.0,-48.0,-76.0
3209,-1040.0,-48.0,-76.0
3226,-1028.0,140.0,24.0
3243,-1028.0,140.0,24.0
3259,-1028.0,140.0,24.0
3275,-1028.0,140.0,24.0
3292,-1028.0,140.0,24.0
3309,-1028.0,140.0,24.0
3326,-1120.0,-56.0,-232.0
3342,-1120.0,-56.0,-232.0
3359,-1120.0,-56.0,-232.0
3376,-1120.0,-56.0,-232.0
3392,-1120.0,-56.0,-232.0
3410,-1120.0,-56.0,-232.0
3426,-1188.0,16.0,-176.0
3442,-1188.0,16.0,-176.0
3459,-1188.0,16.0,-176.0
3476,-1188.0,16.0,-176.0
3492,-1188.0,16.0,-176.0
3509,-1188.0,16.0,-176.0
3525,-1188.0,16.0,-176.0
3542,-1016.0,64.0,-232.0
3558,-1016.0,64.0,-232.0
3575,-1016.0,64.0,-232.0
3592,-1016.0,64.0,-232.0
3608,-1016.0,64.0,-232.0
3626,-1016.0,64.0,-232.0
3642,-1008.0,16.0,-44.0
3658,-1008.0,16.0,-44.0
3675,-1008.0,16.0,-44.0
3692,-1008.0,16.0,-44.0
3709,-1008.0,16.0,-44.0
3725,-1008.0,16.0,-44.0
3742,-1072.0,60.0,-80.0
3759,-1072.0,60.0,-80.0
3776,-1072.0,60.0,-80.0
3792,-1072.0,60.0,-80.0
3808,-1072.0,60.0,-80.0
3826,-1072.0,60.0,-80.0
3842,-1080.0,92.0,-48.0
3859,-1080.0,92.0,-48.0
3876,-1080.0,92.0,-48.0
3891,-1080.0,92.0,-48.0
3909,-1080.0,92.0,-48.0
3925,-1080.0,92.0,-48.0
3942,-1028.0,152.0,12.0
3959,-1028.0,152.0,12.0
3976,-1028.0,152.0,12.0
3992,-1028.0,152.0,12.0
4009,-1028.0,152.0,12.0
4025,-1028.0,152.0,12.0
4042,-1028.0,152.0,12.0
4059,-1028.0,212.0,-32.0
4075,-1028.0,212.0,-32.0
4093,-1028.0,212.0,-32.0
4109,-1028.0,212.0,-32.0
4126,-1028.0,212.0,-32.0
4142,-1028.0,212.0,-32.0
4159,-1056.0,256.0,32.0
4176,-1056.0,256.0,32.0
4192,-1056.0,256.0,32.0
4209,-1056.0,256.0,32.0
4225,-1056.0,256.0,32.0
4242,-1056.0,256.0,32.0
4259,-1048.0,84.0,0.0
4275,-1048.0,84.0,0.0
4292,-1048.0,84.0,0.0
4308,-1048.0,84.0,0.0
4326,-1048.0,84.0,0.0
4342,-1048.0,84.0,0.0
4358,-1008.0,272.0,-4.0
4376,-1008.0,272.0,-4.0
4391,-1008.0,272.0,-4.0
4409,-1008.0,272.0,-4.0
4426,-1008.0,272.0,-4.0
4442,-1008.0,272.0,-4.0
4458,-1028.0,292.0,84.0
4475,-1028.0,292.0,84.0
4492,-1028.0,292.0,84.0
4508,-1028.0,292.0,84.0
4525,-1028.0,292.0,84.0
4542,-1028.0,292.0,84.0
4560,-1028.0,292.0,84.0
4575,-1020.0,168.0,68.0
4593,-1020.0,168.0,68.0
4609,-1020.0,168.0,68.0
4625,-1020.0,168.0,68.0
4642,-1020.0,168.0,68.0
4658,-1020.0,168.0,68.0
4675,-1096.0,36.0,80.0
4692,-1096.0,36.0,80.0
4709,-1096.0,36.0,80.0
4726,-1096.0,36.0,80.0
4742,-1096.0,36.0,80.0
4759,-1096.0,36.0,80.0
4775,-1096.0,64.0,52.0
4793,-1096.0,64.0,52.0
4809,-1096.0,64.0,52.0
4825,-1096.0,64.0,52.0
4843,-1096.0,64.0,52.0
4859,-1096.0,64.0,52.0
4875,-1060.0,-24.0,0.0
4891,-1060.0,-24.0,0.0
4909,-1060.0,-24.0,0.0
4925,-1060.0,-24.0,0.0
4942,-1060.0,-24.0,0.0
4960,-1060.0,-24.0,0.0
4976,-1080.0,68.0,-4.0
4992,-1080.0,68.0,-4.0
5010,-1080.0,68.0,-4.0
5026,-1080.0,68.0,-4.0
5042,-1080.0,68.0,-4.0
5059,-1080.0,68.0,-4.0
5075,-1080.0,68.0,-4.0
5093,-1068.0,76.0,24.0
5109,-1068.0,76.0,24.0
5125,-1068.0,76.0,24.0
5142,-1068.0,76.0,24.0
5159,-1068.0,76.0,24.0
5176,-1068.0,76.0,24.0
5192,-1068.0,8.0,-4.0
5209,-1068.0,8.0,-4.0
5225,-1068.0,8.0,-4.0
5242,-1068.0,8.0,-4.0
5258,-1068.0,8.0,-4.0
5276,-1068.0,8.0,-4.0
5293,-1096.0,-4.0,-52.0
5308,-1096.0,-4.0,-52.0
5325,-1096.0,-4.0,-52.0
5342,-1096.0,-4.0,-52.0
5359,-1096.0,-4.0,-52.0
5375,-1096.0,-4.0,-52.0
5392,-1044.0,52.0,16.0
5408,-1044.0,52.0,16.0
5426,-1044.0,52.0,16.0
5444,-1044.0,52.0,16.0
5462,-1044.0,52.0,16.0
5481,-1044.0,52.0,16.0
5498,-1040.0,40.0,16.0
5515,-1040.0,40.0,16.0
5532,-1040.0,40.0,16.0
5549,-1040.0,40.0,16.0
5567,-1040.0,40.0,16.0
5583,-1040.0,40.0,16.0
5600,-1060.0,164.0,40.0
5617,-1060.0,164.0,40.0
5633,-1060.0,164.0,40.0
5650,-1060.0,164.0,40.0
5667,-1060.0,164.0,40.0
