MILLIS,X,Y,Z
1335,-840.0,348.0,436.0
1467,-1000.0,8.0,396.0
1481,-1000.0,8.0,396.0
1497,-1000.0,8.0,396.0
1514,-1000.0,8.0,396.0
1530,-1000.0,8.0,396.0
1548,-936.0,32.0,384.0
1564,-936.0,32.0,384.0
1580,-936.0,32.0,384.0
1598,-936.0,32.0,384.0
1614,-936.0,32.0,384.0
1631,-936.0,32.0,384.0
1648,-936.0,32.0,384.0
1664,-936.0,20.0,448.0
1681,-936.0,20.0,448.0
1698,-936.0,20.0,448.0
1715,-936.0,20.0,448.0
1731,-936.0,20.0,448.0
1747,-936.0,20.0,448.0
1765,-784.0,96.0,476.0
1780,-784.0,96.0,476.0
1797,-784.0,96.0,476.0
1814,-784.0,96.0,476.0
1830,-784.0,96.0,476.0
1848,-784.0,96.0,476.0
1863,-776.0,256.0,528.0
1880,-776.0,256.0,528.0
1896,-776.0,256.0,528.0
1914,-776.0,256.0,528.0
1930,-776.0,256.0,528.0
1947,-776.0,256.0,528.0
1964,-824.0,292.0,512.0
1980,-824.0,292.0,512.0
1997,-824.0,292.0,512.0
2014,-824.0,292.0,512.0
2030,-824.0,292.0,512.0
2046,-824.0,292.0,512.0
2063,-824.0,268.0,496.0
2080,-844.0,268.0,496.0
2096,-844.0,268.0,496.0
2113,-844.0,268.0,496.0
2130,-844.0,268.0,496.0
2147,-844.0,268.0,496.0
2163,-844.0,268.0,496.0
2180,-876.0,220.0,480.0
2197,-876.0,220.0,480.0
2214,-876.0,220.0,480.0
2230,-876.0,220.0,480.0
2247,-876.0,220.0,480.0
2263,-876.0,220.0,480.0
2280,-860.0,280.0,444.0
2297,-860.0,280.0,444.0
2313,-860.0,280.0,444.0
2330,-860.0,280.0,444.0
2347,-860.0,280.0,444.0
2364,-860.0,280.0,444.0
2380,-816.0,368.0,444.0
2397,-816.0,368.0,444.0
2414,-816.0,368.0,444.0
2430,-816.0,368.0,444.0
2447,-816.0,368.0,444.0
2464,-816.0,368.0,444.0
2480,-800.0,388.0,460.0
2496,-800.0,388.0,460.0
2514,-800.0,388.0,460.0
2530,-800.0,388.0,460.0
2547,-800.0,388.0,460.0
2563,-800.0,388.0,460.0
2580,-764.0,388.0,484.0
2598,-764.0,388.0,484.0
2613,-764.0,388.0,484.0
2631,-764.0,388.0,484.0
2647,-764.0,388.0,484.0
2664,-764.0,388.0,484.0
2681,-764.0,388.0,484.0
2697,-792.0,376.0,512.0
2714,-792.0,376.0,512.0
2731,-792.0,376.0,512.0
2747,-792.0,376.0,512.0
2764,-792.0,376.0,512.0
2781,-792.0,376.0,512.0
2797,-740.0,440.0,552.0
2814,-740.0,440.0,552.0
2831,-740.0,440.0,552.0
2847,-740.0,440.0,552.0
2863,-740.0,440.0,552.0
2880,-740.0,440.0,552.0
2897,-684.0,428.0,572.0
2913,-684.0,428.0,572.0
2931,-684.0,428.0,572.0
2947,-684.0,428.0,572.0
2964,-684.0,428.0,572.0
2980,-684.0,428.0,572.0
2997,-668.0,424.0,572.0
3014,-668.0,424.0,572.0
3031,-668.0,424.0,572.0
3048,-668.0,424.0,572.0
3064,-668.0,424.0,572.0
3080,-668.0,424.0,572.0
3097,-668.0,424.0,572.0
3114,-680.0,400.0,572.0
3130,-680.0,400.0,572.0
3147,-680.0,400.0,572.0
3164,-680.0,400.0,572.0
3180,-680.0,400.0,572.0
3197,-680.0,400.0,572.0
3213,-700.0,404.0,560.0
3230,-700.0,404.0,560.0
3247,-700.0,404.0,560.0
3263,-700.0,404.0,560.0
3280,-700.0,404.0,560.0
3297,-700.0,404.0,560.0
3313,-736.0,388.0,528.0
3330,-736.0,388.0,528.0
3346,-736.0,388.0,528.0
3364,-736.0,388.0,528.0
3381,-736.0,388.0,528.0
3397,-736.0,388.0,528.0
3414,-728.0,376.0,552.0
3431,-728.0,376.0,552.0
3447,-728.0,376.0,552.0
3463,-728.0,376.0,552.0
3480,-728.0,376.0,552.0
3497,-728.0,376.0,552.0
3514,-768.0,336.0,544.0
3531,-768.0,336.0,544.0
3547,-768.0,336.0,544.0
3564,-768.0,336.0,544.0
3580,-768.0,336.0,544.0
3597,-768.0,336.0,544.0
3614,-768.0,336.0,544.0
3630,-884.0,232.0,556.0
3646,-884.0,232.0,556.0
3663,-884.0,232.0,556.0
3680,-884.0,232.0,556.0
3697,-884.0,232.0,556.0
3713,-884.0,232.0,556.0
3730,-912.0,132.0,452.0
3747,-912.0,132.0,452.0
3763,-912.0,132.0,452.0
3780,-912.0,132.0,452.0
3797,-912.0,132.0,452.0
3814,-912.0,132.0,452.0
3830,-908.0,-12.0,432.0
3847,-908.0,-12.0,432.0
3864,-908.0,-12.0,432.0
3881,-908.0,-12.0,432.0
3897,-908.0,-12.0,432.0
3914,-908.0,-12.0,432.0
3930,-876.0,16.0,456.0
3947,-876.0,16.0,456.0
3964,-876.0,16.0,456.0
3980,-876.0,16.0,456.0
3997,-876.0,16.0,456.0
4013,-876.0,16.0,456.0
4030,-876.0,16.0,456.0
4047,-908.0,52.0,512.0
4064,-908.0,52.0,512.0
4080,-908.0,52.0,512.0
4097,-908.0,52.0,512.0
4113,-908.0,52.0,512.0
4130,-908.0,52.0,512.0
4147,-880.0,28.0,496.0
4164,-880.0,28.0,496.0
4180,-880.0,28.0,496.0
4198,-880.0,28.0,496.0
4214,-880.0,28.0,496.0
4230,-880.0,28.0,496.0
4246,-860.0,168.0,532.0
4264,-860.0,168.0,532.0
4280,-860.0,168.0,532.0
4298,-860.0,168.0,532.0
4314,-860.0,168.0,532.0
4330,-860.0,168.0,532.0
4347,-772.0,180.0,544.0
4364,-772.0,180.0,544.0
4380,-772.0,180.0,544.0
4397,-772.0,180.0,544.0
4413,-772.0,180.0,544.0
4430,-772.0,180.0,544.0
4447,-764.0,256.0,608.0
4464,-764.0,256.0,608.0
4481,-764.0,256.0,608.0
4498,-764.0,256.0,608.0
4513,-764.0,256.0,608.0
4531,-764.0,256.0,608.0
4547,-764.0,256.0,608.0
4564,-736.0,268.0,636.0
4580,-736.0,268.0,636.0
4598,-736.0,268.0,636.0
4614,-736.0,268.0,636.0
4631,-736.0,268.0,636.0
4648,-736.0,268.0,636.0
4663,-696.0,296.0,644.0
4681,-696.0,296.0,644.0
4697,-696.0,296.0,644.0
4714,-696.0,296.0,644.0
4731,-696.0,296.0,644.0
4748,-696.0,296.0,644.0
4763,-704.0,316.0,600.0
4780,-704.0,316.0,600.0
4796,-704.0,316.0,600.0
4821,-704.0,316.0,600.0
4838,-704.0,316.0,600.0
4855,-704.0,316.0,600.0
4873,-768.0,348.0,548.0
4889,-768.0,348.0,548.0
4905,-768.0,348.0,548.0
4922,-768.0,348.0,548.0
4939,-768.0,348.0,548.0
4955,-768.0,348.0,548.0
4972,-784.0,312.0,540.0
4989,-784.0,312.0,540.0
5005,-784.0,312.0,540.0
5022,-784.0,312.0,540.0
5039,-784.0,312.0,540.0
5055,-784.0,312.0,540.0
5072,-800.0,372.0,480.0
5089,-800.0,372.0,480.0
5105,-800.0,372.0,480.0
5122,-800.0,372.0,480.0
5139,-800.0,372.0,480.0
5154,-800.0,372.0,480.0
5172,-820.0,376.0,448.0
5188,-820.0,376.0,448.0
5205,-820.0,376.0,448.0
5222,-820.0,376.0,448.0
5238,-820.0,376.0,448.0
5255,-820.0,376.0,448.0
5271,-820.0,376.0,448.0
5289,-804.0,396.0,468.0
5305,-804.0,396.0,468.0
5321,-804.0,396.0,468.0
5338,-804.0,396.0,468.0
5355,-804.0,396.0,468.0
5371,-804.0,396.0,468.0
5388,-776.0,408.0,484.0
5405,-776.0,408.0,484.0
5421,-776.0,408.0,484.0
5438,-776.0,408.0,484.0
5455,-776.0,408.0,484.0
5471,-776.0,408.0,484.0
5489,-792.0,416.0,476.0
5505,-792.0,416.0,476.0
5522,-792.0,416.0,476.0
5539,-792.0,416.0,476.0
5555,-792.0,416.0,476.0
5572,-792.0,416.0,476.0
5588,-768.0,388.0,524.0
5606,-768.0,388.0,524.0
5621,-768.0,388.0,524.0
5639,-768.0,388.0,524.0
5656,-768.0,388.0,524.0
5672,-768.0,388.0,524.0
5689,-740.0,376.0,556.0
5705,-740.0,376.0,556.0
5722,-740.0,376.0,556.0
5738,-740.0,376.0,556.0
5755,-740.0,376.0,556.0
5771,-740.0,376.0,556.0
5788,-740.0,376.0,556.0
5805,-708.0,384.0,560.0
