MILLIS,X,Y,Z
1348,-968.0,120.0,296.0
1474,-888.0,336.0,440.0
1488,-888.0,336.0,440.0
1503,-888.0,336.0,440.0
1520,-888.0,336.0,440.0
1538,-888.0,336.0,440.0
1555,-888.0,336.0,440.0
1571,-812.0,408.0,448.0
1588,-812.0,408.0,448.0
1605,-812.0,408.0,448.0
1621,-812.0,408.0,448.0
1638,-812.0,408.0,448.0
1654,-812.0,408.0,448.0
1670,-808.0,388.0,460.0
1688,-808.0,388.0,460.0
1704,-808.0,388.0,460.0
1721,-808.0,388.0,460.0
1737,-808.0,388.0,460.0
1754,-808.0,388.0,460.0
1771,-780.0,388.0,476.0
1787,-780.0,388.0,476.0
1803,-780.0,388.0,476.0
1821,-780.0,388.0,476.0
1838,-780.0,388.0,476.0
1854,-780.0,388.0,476.0
1870,-800.0,344.0,484.0
1887,-800.0,344.0,484.0
1904,-800.0,344.0,484.0
1920,-800.0,344.0,484.0
1937,-800.0,344.0,484.0
1954,-800.0,344.0,484.0
1970,-800.0,344.0,484.0
1987,-812.0,360.0,468.0
2004,-812.0,360.0,468.0
2020,-812.0,360.0,468.0
2036,-812.0,360.0,468.0
2054,-812.0,360.0,468.0
2071,-812.0,360.0,468.0
2087,-820.0,408.0,412.0
2103,-820.0,408.0,412.0
2120,-820.0,408.0,412.0
2137,-820.0,408.0,412.0
2153,-820.0,408.0,412.0
2170,-820.0,408.0,412.0
2187,-836.0,412.0,364.0
2204,-836.0,412.0,364.0
2221,-836.0,412.0,364.0
2238,-836.0,412.0,364.0
2254,-836.0,412.0,364.0
2271,-836.0,412.0,364.0
2287,-944.0,292.0,316.0
2303,-944.0,292.0,316.0
2321,-944.0,292.0,316.0
2337,-944.0,292.0,316.0
2354,-944.0,292.0,316.0
2371,-944.0,292.0,316.0
2388,-988.0,304.0,276.0
2404,-988.0,304.0,276.0
2421,-988.0,304.0,276.0
2437,-988.0,304.0,276.0
2454,-988.0,304.0,276.0
2471,-988.0,304.0,276.0
2487,-988.0,304.0,276.0
2505,-1016.0,176.0,256.0
2521,-1016.0,176.0,256.0
2537,-1016.0,176.0,256.0
2554,-1016.0,176.0,256.0
2571,-1016.0,176.0,256.0
2587,-1016.0,176.0,256.0
2604,-1080.0,112.0,264.0
2620,-1080.0,112.0,264.0
2638,-1080.0,112.0,264.0
2654,-1080.0,112.0,264.0
2671,-1080.0,112.0,264.0
2688,-1080.0,112.0,264.0
2704,-1028.0,-28.0,212.0
2721,-1028.0,-28.0,212.0
2737,-1028.0,-28.0,212.0
2755,-1028.0,-28.0,212.0
2771,-1028.0,-28.0,212.0
2787,-1028.0,-28.0,212.0
2804,-992.0,16.0,176.0
2821,-992.0,16.0,176.0
2837,-992.0,16.0,176.0
2854,-992.0,16.0,176.0
2871,-992.0,16.0,176.0
2888,-992.0,16.0,176.0
2904,-992.0,16.0,176.0
2921,-1028.0,76.0,148.0
2937,-1028.0,76.0,148.0
2954,-1028.0,76.0,148.0
2971,-1028.0,76.0,148.0
2987,-1028.0,76.0,148.0
3004,-1028.0,76.0,148.0
3021,-1052.0,16.0,156.0
3037,-1052.0,16.0,156.0
3054,-1052.0,16.0,156.0
3071,-1052.0,16.0,156.0
3088,-1052.0,16.0,156.0
3104,-1052.0,16.0,156.0
3121,-1032.0,20.0,148.0
3137,-1032.0,20.0,148.0
3154,-1032.0,20.0,148.0
3171,-1032.0,20.0,148.0
3187,-1032.0,20.0,148.0
3204,-1032.0,20.0,148.0
3220,-1016.0,60.0,136.0
3237,-1016.0,60.0,136.0
3253,-1016.0,60.0,136.0
3270,-1016.0,60.0,136.0
3288,-1016.0,60.0,136.0
3304,-1016.0,60.0,136.0
3320,-1052.0,68.0,136.0
3337,-1052.0,68.0,136.0
3353,-1052.0,68.0,136.0
3370,-1052.0,68.0,136.0
3387,-1052.0,68.0,136.0
3403,-1052.0,68.0,136.0
3420,-1052.0,68.0,136.0
3437,-1076.0,116.0,132.0
3454,-1076.0,116.0,132.0
3471,-1076.0,116.0,132.0
3488,-1076.0,116.0,132.0
3504,-1076.0,116.0,132.0
3521,-1076.0,116.0,132.0
3537,-992.0,264.0,220.0
3554,-992.0,264.0,220.0
3571,-992.0,264.0,220.0
3588,-992.0,264.0,220.0
3604,-992.0,264.0,220.0
3621,-992.0,264.0,220.0
3638,-952.0,316.0,232.0
3654,-952.0,316.0,232.0
3670,-952.0,316.0,232.0
3687,-952.0,316.0,232.0
3704,-952.0,316.0,232.0
3721,-952.0,316.0,232.0
3737,-928.0,348.0,264.0
3754,-928.0,348.0,264.0
3770,-928.0,348.0,264.0
3787,-928.0,348.0,264.0
3804,-928.0,348.0,264.0
3821,-928.0,348.0,264.0
3838,-952.0,352.0,264.0
3854,-952.0,352.0,264.0
3871,-952.0,352.0,264.0
3888,-952.0,352.0,264.0
3904,-952.0,352.0,264.0
3920,-952.0,352.0,264.0
3938,-952.0,352.0,264.0
3954,-940.0,376.0,236.0
3971,-940.0,376.0,236.0
3987,-940.0,376.0,236.0
4004,-940.0,376.0,236.0
4020,-940.0,376.0,236.0
4037,-940.0,376.0,236.0
4054,-928.0,388.0,208.0
4070,-928.0,388.0,208.0
4087,-928.0,388.0,208.0
4104,-928.0,388.0,208.0
4121,-928.0,388.0,208.0
4137,-928.0,388.0,208.0
4154,-936.0,380.0,208.0
4171,-936.0,380.0,208.0
4188,-936.0,380.0,208.0
4205,-936.0,380.0,208.0
4220,-936.0,380.0,208.0
4237,-936.0,380.0,208.0
4253,-920.0,360.0,204.0
4270,-920.0,360.0,204.0
4287,-920.0,360.0,204.0
4304,-920.0,360.0,204.0
4320,-920.0,360.0,204.0
4338,-920.0,360.0,204.0
4354,-920.0,360.0,204.0
4371,-972.0,276.0,208.0
4387,-972.0,276.0,208.0
4404,-972.0,276.0,208.0
4421,-972.0,276.0,208.0
4438,-972.0,276.0,208.0
4454,-972.0,276.0,208.0
4470,-1040.0,220.0,212.0
4488,-1040.0,220.0,212.0
4504,-1040.0,220.0,212.0
4521,-1040.0,220.0,212.0
4537,-1040.0,220.0,212.0
4554,-1040.0,220.0,212.0
4571,-1040.0,124.0,132.0
4587,-1040.0,124.0,132.0
4604,-1040.0,124.0,132.0
4622,-1040.0,124.0,132.0
4637,-1040.0,124.0,132.0
4654,-1040.0,124.0,132.0
4670,-1096.0,64.0,96.0
4688,-1096.0,64.0,96.0
4705,-1096.0,64.0,96.0
4720,-1096.0,64.0,96.0
4737,-1096.0,64.0,96.0
4754,-1096.0,64.0,96.0
4771,-1028.0,-32.0,72.0
4787,-1028.0,-32.0,72.0
4804,-1028.0,-32.0,72.0
4821,-1028.0,-32.0,72.0
4837,-1028.0,-32.0,72.0
4854,-1028.0,-32.0,72.0
4871,-1028.0,-32.0,72.0
4888,-1024.0,-12.0,88.0
4904,-1024.0,-12.0,88.0
4921,-1024.0,-12.0,88.0
4937,-1024.0,-12.0,88.0
4954,-1024.0,-12.0,88.0
4972,-1024.0,-12.0,88.0
4991,-1052.0,16.0,88.0
5010,-1052.0,16.0,88.0
5028,-1052.0,16.0,88.0
5045,-1052.0,16.0,88.0
5061,-1052.0,16.0,88.0
5079,-1052.0,16.0,88.0
5096,-1048.0,4.0,84.0
5112,-1048.0,4.0,84.0
5129,-1048.0,4.0,84.0
5146,-1048.0,4.0,84.0
5161,-1048.0,4.0,84.0
5179,-1048.0,4.0,84.0
5196,-1068.0,52.0,124.0
5212,-1068.0,52.0,124.0
5229,-1068.0,52.0,124.0
5245,-1068.0,52.0,124.0
5262,-1068.0,52.0,124.0
5278,-1068.0,52.0,124.0
5295,-1008.0,72.0,136.0
5311,-1008.0,72.0,136.0
5328,-1008.0,72.0,136.0
5345,-1008.0,72.0,136.0
5362,-1008.0,72.0,136.0
5379,-1008.0,72.0,136.0
5395,-1032.0,156.0,204.0
5411,-1032.0,156.0,204.0
5428,-1032.0,156.0,204.0
5445,-1032.0,156.0,204.0
5462,-1032.0,156.0,204.0
5478,-1032.0,156.0,204.0
5496,-1004.0,180.0,252.0
5511,-1004.0,180.0,252.0
5528,-1004.0,180.0,252.0
5545,-1004.0,180.0,252.0
5562,-1004.0,180.0,252.0
5578,-1004.0,180.0,252.0
5595,-1004.0,180.0,252.0
5612,-944.0,288.0,280.0
5629,-944.0,288.0,280.0
5644,-944.0,288.0,280.0
5662,-944.0,288.0,280.0
5679,-944.0,288.0,280.0
5695,-944.0,288.0,280.0
5712,-944.0,296.0,284.0
5729,-944.0,296.0,284.0
5745,-944.0,296.0,284.0
5761,-944.0,296.0,284.0
5779,-944.0,296.0,284.0
5795,-944.0,296.0,284.0
5812,-940.0,332.0,276.0
5829,-940.0,332.0,276.0
5845,-940.0,332.0,276.0
5861,-940.0,332.0,276.0
5878,-940.0,332.0,276.0
5896,-940.0,332.0,276.0
5911,-944.0,332.0,276.0
5928,-944.0,332.0,276.0
5945,-944.0,332.0,276.0
5962,-944.0,332.0,276.0
5978,-944.0,332.0,276.0
5995,-944.0,332.0,276.0
6011,-944.0,332.0,276.0
6029,-932.0,336.0,260.0
6046,-932.0,336.0,260.0
6062,-932.0,336.0,260.0
6078,-932.0,336.0,260.0
6096,-932.0,336.0,260.0
6112,-932.0,336.0,260.0
6128,-928.0,352.0,252.0
6146,-928.0,352.0,252.0
6162,-928.0,352.0,252.0
6179,-928.0,352.0,252.0
6195,-928.0,352.0,252.0
6212,-928.0,352.0,252.0
6228,-936.0,324.0,248.0
6246,-936.0,324.0,248.0
6262,-936.0,324.0,248.0
6278,-936.0,324.0,248.0
6296,-936.0,324.0,248.0
6312,-936.0,324.0,248.0
6329,-956.0,260.0,224.0
6345,-956.0,260.0,224.0
6362,-956.0,260.0,224.0
6378,-956.0,260.0,224.0
6395,-956.0,260.0,224.0
6411,-956.0,260.0,224.0
6429,-1120.0,136.0,236.0
6446,-1120.0,136.0,236.0
6462,-1120.0,136.0,236.0
6479,-1120.0,136.0,236.0
6495,-1120.0,136.0,236.0
6512,-1120.0,136.0,236.0
6529,-1120.0,136.0,236.0
6545,-1068.0,120.0,112.0
6562,-1068.0,120.0,112.0
6579,-1068.0,120.0,112.0
6596,-1068.0,120.0,112.0
6612,-1068.0,120.0,112.0
6629,-1068.0,120.0,112.0
6646,-1104.0,0.0,88.0
6662,-1104.0,0.0,88.0
6679,-1104.0,0.0,88.0
6695,-1104.0,0.0,88.0
6712,-1104.0,0.0,88.0
6729,-1104.0,0.0,88.0
6746,-1040.0,-52.0,60.0
6763,-1040.0,-52.0,60.0
6779,-1040.0,-52.0,60.0
6795,-1040.0,-52.0,60.0
6812,-1040.0,-52.0,60.0
6829,-1040.0,-52.0,60.0
6846,-1024.0,-60.0,48.0
6862,-1024.0,-60.0,48.0
6879,-1024.0,-60.0,48.0
6896,-1024.0,-60.0,48.0
6912,-1024.0,-60.0,48.0
6929,-1024.0,-60.0,48.0
6946,-1052.0,-36.0,92.0
6962,-1052.0,-36.0,92.0
6979,-1052.0,-36.0,92.0
6996,-1052.0,-36.0,92.0
7013,-1052.0,-36.0,92.0
7029,-1052.0,-36.0,92.0
7046,-1052.0,-36.0,92.0
7062,-1052.0,-20.0,120.0
7079,-1052.0,-20.0,120.0
7096,-1052.0,-20.0,120.0
7112,-1052.0,-20.0,120.0
7129,-1052.0,-20.0,120.0
7145,-1052.0,-20.0,120.0
7162,-1028.0,-56.0,120.0
7179,-1028.0,-56.0,120.0
7196,-1028.0,-56.0,120.0
7213,-1028.0,-56.0,120.0
7229,-1028.0,-56.0,120.0
7246,-1028.0,-56.0,120.0
7262,-1052.0,-20.0,180.0
7279,-1052.0,-20.0,180.0
7295,-1052.0,-20.0,180.0
7313,-1052.0,-20.0,180.0
7329,-1052.0,-20.0,180.0
7346,-1052.0,-20.0,180.0
7362,-1008.0,64.0,252.0
7379,-1008.0,64.0,252.0
7396,-1008.0,64.0,252.0
7412,-1008.0,64.0,252.0
7429,-1008.0,64.0,252.0
7446,-1008.0,64.0,252.0
7462,-1008.0,64.0,252.0
7479,-980.0,172.0,264.0
7495,-980.0,172.0,264.0
7512,-980.0,172.0,264.0
7529,-980.0,172.0,264.0
7546,-980.0,172.0,264.0
7562,-980.0,172.0,264.0
7579,-976.0,228.0,304.0
7595,-976.0,228.0,304.0
7612,-976.0,228.0,304.0
7630,-976.0,228.0,304.0
7646,-976.0,228.0,304.0
7662,-976.0,228.0,304.0
7679,-940.0,336.0,296.0
7696,-940.0,336.0,296.0
7712,-940.0,336.0,296.0
7728,-940.0,336.0,296.0
7745,-940.0,336.0,296.0
7763,-940.0,336.0,296.0
7779,-892.0,348.0,324.0
7796,-892.0,348.0,324.0
7813,-892.0,348.0,324.0
7829,-892.0,348.0,324.0
7845,-892.0,348.0,324.0
7862,-892.0,348.0,324.0
7879,-896.0,392.0,288.0
7896,-896.0,392.0,288.0
7912,-896.0,392.0,288.0
7929,-896.0,392.0,288.0
7945,-896.0,392.0,288.0
7962,-896.0,392.0,288.0
7978,-896.0,392.0,288.0
7996,-912.0,368.0,272.0
8012,-912.0,368.0,272.0
8029,-912.0,368.0,272.0
8045,-912.0,368.0,272.0
8063,-912.0,368.0,272.0
8079,-912.0,368.0,272.0
8096,-940.0,348.0,256.0
8113,-940.0,348.0,256.0
8129,-940.0,348.0,256.0
8145,-940.0,348.0,256.0
8162,-940.0,348.0,256.0
8179,-940.0,348.0,256.0
8196,-960.0,308.0,224.0
8212,-960.0,308.0,224.0
8229,-960.0,308.0,224.0
8246,-960.0,308.0,224.0
8263,-960.0,308.0,224.0
8279,-960.0,308.0,224.0
8296,-968.0,324.0,216.0
8312,-968.0,324.0,216.0
8329,-968.0,324.0,216.0
8346,-968.0,324.0,216.0
8363,-968.0,324.0,216.0
8378,-968.0,324.0,216.0
8396,-976.0,292.0,204.0
8413,-976.0,292.0,204.0
8429,-976.0,292.0,204.0
8446,-976.0,292.0,204.0
8462,-976.0,292.0,204.0
8480,-976.0,292.0,204.0
8496,-976.0,292.0,204.0
8512,-992.0,276.0,204.0
8529,-992.0,276.0,204.0
8545,-992.0,276.0,204.0
8563,-992.0,276.0,204.0
8586,-992.0,276.0,204.0
8603,-1028.0,200.0,144.0
8620,-1028.0,200.0,144.0
8637,-1028.0,200.0,144.0
8653,-1028.0,200.0,144.0
8670,-1028.0,200.0,144.0
8687,-1028.0,200.0,144.0
8703,-1028.0,200.0,144.0
8720,-1084.0,112.0,132.0
8737,-1084.0,112.0,132.0
8754,-1084.0,112.0,132.0
8770,-1084.0,112.0,132.0
8787,-1084.0,112.0,132.0
8803,-1084.0,112.0,132.0
8820,-1072.0,40.0,100.0
8836,-1072.0,40.0,100.0
8853,-1072.0,40.0,100.0
8870,-1072.0,40.0,100.0
8886,-1072.0,40.0,100.0
8903,-1072.0,40.0,100.0
8920,-1036.0,4.0,112.0
8937,-1036.0,4.0,112.0
8953,-1036.0,4.0,112.0
8970,-1036.0,4.0,112.0
8986,-1036.0,4.0,112.0
9003,-1036.0,4.0,112.0
9019,-1032.0,-8.0,100.0
9037,-1032.0,-8.0,100.0
9054,-1032.0,-8.0,100.0
9069,-1032.0,-8.0,100.0
9087,-1032.0,-8.0,100.0
9103,-1032.0,-8.0,100.0
9120,-1032.0,-8.0,100.0
9136,-1044.0,52.0,120.0
9153,-1044.0,52.0,120.0
9170,-1044.0,52.0,120.0
9187,-1044.0,52.0,120.0
9204,-1044.0,52.0,120.0
9220,-1044.0,52.0,120.0
9236,-1068.0,32.0,152.0
9254,-1068.0,32.0,152.0
9270,-1068.0,32.0,152.0
9287,-1068.0,32.0,152.0
9304,-1068.0,32.0,152.0
9320,-1068.0,32.0,152.0
9337,-1068.0,200.0,140.0
9354,-1068.0,200.0,140.0
9370,-1068.0,200.0,140.0
9387,-1068.0,200.0,140.0
9404,-1068.0,200.0,140.0
9421,-1068.0,200.0,140.0
9437,-1032.0,108.0,188.0
9453,-1032.0,108.0,188.0
9470,-1032.0,108.0,188.0
9486,-1032.0,108.0,188.0
9503,-1032.0,108.0,188.0
9520,-1032.0,108.0,188.0
9536,-988.0,220.0,244.0
9553,-988.0,220.0,244.0
9570,-988.0,220.0,244.0
9586,-988.0,220.0,244.0
9603,-988.0,220.0,244.0
9621,-988.0,220.0,244.0
9637,-988.0,220.0,244.0
9654,-992.0,204.0,280.0
9670,-992.0,204.0,280.0
9687,-992.0,204.0,280.0
9703,-992.0,204.0,280.0
9719,-992.0,204.0,280.0
9737,-992.0,204.0,280.0
9754,-936.0,252.0,308.0
9771,-936.0,252.0,308.0
9786,-936.0,252.0,308.0
9804,-936.0,252.0,308.0
9820,-936.0,252.0,308.0
9837,-936.0,252.0,308.0
9853,-936.0,284.0,300.0
9870,-936.0,284.0,300.0
9887,-936.0,284.0,300.0
9903,-936.0,284.0,300.0
9920,-936.0,284.0,300.0
9936,-936.0,284.0,300.0
9954,-960.0,264.0,288.0
9970,-960.0,264.0,288.0
9987,-960.0,264.0,288.0
10003,-960.0,264.0,288.0
10020,-960.0,264.0,288.0
10037,-960.0,264.0,288.0
10054,-960.0,260.0,264.0
10070,-960.0,260.0,264.0
10087,-960.0,260.0,264.0
10104,-960.0,260.0,264.0
10120,-960.0,260.0,264.0
10137,-960.0,260.0,264.0
10153,-960.0,260.0,264.0
10170,-972.0,288.0,236.0
10187,-972.0,288.0,236.0
10204,-972.0,288.0,236.0
10220,-972.0,288.0,236.0
10237,-972.0,288.0,236.0
10254,-972.0,288.0,236.0
10270,-992.0,304.0,228.0
10287,-992.0,304.0,228.0
10303,-992.0,304.0,228.0
10320,-992.0,304.0,228.0
10337,-992.0,304.0,228.0
10353,-992.0,304.0,228.0
10370,-972.0,288.0,216.0
10387,-972.0,288.0,216.0
10403,-972.0,288.0,216.0
10420,-972.0,288.0,216.0
10436,-972.0,288.0,216.0
10454,-972.0,288.0,216.0
10471,-984.0,292.0,188.0
10487,-984.0,292.0,188.0
10504,-984.0,292.0,188.0
10520,-984.0,292.0,188.0
10537,-984.0,292.0,188.0
10554,-984.0,292.0,188.0
10571,-984.0,292.0,188.0
10587,-1024.0,172.0,156.0
10604,-1024.0,172.0,156.0
10621,-1024.0,172.0,156.0
10637,-1024.0,172.0,156.0
10654,-1024.0,172.0,156.0
10670,-1024.0,172.0,156.0
10686,-1116.0,88.0,124.0
10704,-1116.0,88.0,124.0
10720,-1116.0,88.0,124.0
10737,-1116.0,88.0,124.0
10754,-1116.0,88.0,124.0
10771,-1116.0,88.0,124.0
10787,-1072.0,0.0,104.0
10804,-1072.0,0.0,104.0
10820,-1072.0,0.0,104.0
10837,-1072.0,0.0,104.0
