MILLIS,X,Y,Z
1351,-1068.0,-64.0,312.0
1467,-924.0,16.0,316.0
1486,-856.0,-112.0,468.0
1502,-856.0,-112.0,468.0
1520,-856.0,-112.0,468.0
1537,-856.0,-112.0,468.0
1555,-856.0,-112.0,468.0
1572,-856.0,-112.0,468.0
1588,-836.0,-304.0,528.0
1605,-836.0,-304.0,528.0
1622,-836.0,-304.0,528.0
1639,-836.0,-304.0,528.0
1656,-836.0,-304.0,528.0
1672,-836.0,-304.0,528.0
1688,-804.0,-312.0,540.0
1706,-804.0,-312.0,540.0
1722,-804.0,-312.0,540.0
1739,-804.0,-312.0,540.0
1755,-804.0,-312.0,540.0
1772,-804.0,-312.0,540.0
1789,-684.0,-372.0,576.0
1805,-684.0,-372.0,576.0
1821,-684.0,-372.0,576.0
1839,-684.0,-372.0,576.0
1855,-684.0,-372.0,576.0
1871,-684.0,-372.0,576.0
1888,-740.0,-372.0,620.0
1905,-740.0,-372.0,620.0
1921,-740.0,-372.0,620.0
1938,-740.0,-372.0,620.0
1955,-740.0,-372.0,620.0
1972,-740.0,-372.0,620.0
1988,-696.0,-372.0,632.0
2005,-696.0,-372.0,632.0
2021,-696.0,-372.0,632.0
2038,-696.0,-372.0,632.0
2055,-696.0,-372.0,632.0
2071,-696.0,-372.0,632.0
2088,-696.0,-372.0,632.0
2104,-736.0,-380.0,576.0
2121,-736.0,-380.0,576.0
2138,-736.0,-380.0,576.0
2155,-736.0,-380.0,576.0
2171,-736.0,-380.0,576.0
2189,-736.0,-380.0,576.0
2205,-788.0,-312.0,528.0
2222,-788.0,-312.0,528.0
2239,-788.0,-312.0,528.0
2255,-788.0,-312.0,528.0
2272,-788.0,-312.0,528.0
2288,-788.0,-312.0,528.0
2305,-892.0,-256.0,464.0
2321,-892.0,-256.0,464.0
2338,-892.0,-256.0,464.0
2355,-892.0,-256.0,464.0
2371,-892.0,-256.0,464.0
2389,-892.0,-256.0,464.0
2405,-976.0,-188.0,404.0
2421,-976.0,-188.0,404.0
2438,-976.0,-188.0,404.0
2455,-976.0,-188.0,404.0
2471,-976.0,-188.0,404.0
2489,-976.0,-188.0,404.0
2505,-976.0,-188.0,404.0
2522,-1044.0,-120.0,340.0
2538,-1044.0,-120.0,340.0
2554,-1044.0,-120.0,340.0
2572,-1044.0,-120.0,340.0
2588,-1044.0,-120.0,340.0
2605,-1044.0,-120.0,340.0
2622,-1028.0,-108.0,300.0
2639,-1028.0,-108.0,300.0
2656,-1028.0,-108.0,300.0
2672,-1028.0,-108.0,300.0
2688,-1028.0,-108.0,300.0
2705,-1028.0,-108.0,300.0
2722,-960.0,-4.0,332.0
2738,-960.0,-4.0,332.0
2756,-960.0,-4.0,332.0
2771,-960.0,-4.0,332.0
2789,-960.0,-4.0,332.0
2805,-960.0,-4.0,332.0
2822,-964.0,-12.0,376.0
2838,-964.0,-12.0,376.0
2855,-964.0,-12.0,376.0
2871,-964.0,-12.0,376.0
2889,-964.0,-12.0,376.0
2905,-964.0,-12.0,376.0
2922,-888.0,-4.0,424.0
2938,-888.0,-4.0,424.0
2955,-888.0,-4.0,424.0
2972,-888.0,-4.0,424.0
2989,-888.0,-4.0,424.0
3005,-888.0,-4.0,424.0
3022,-888.0,-4.0,424.0
3039,-880.0,-220.0,496.0
3055,-880.0,-220.0,496.0
3071,-880.0,-220.0,496.0
3089,-880.0,-220.0,496.0
3106,-880.0,-220.0,496.0
3122,-880.0,-220.0,496.0
3138,-796.0,-372.0,556.0
3155,-796.0,-372.0,556.0
3171,-796.0,-372.0,556.0
3188,-796.0,-372.0,556.0
3204,-796.0,-372.0,556.0
3221,-796.0,-372.0,556.0
3239,-752.0,-384.0,524.0
3255,-752.0,-384.0,524.0
3272,-752.0,-384.0,524.0
3288,-752.0,-384.0,524.0
3304,-752.0,-384.0,524.0
3321,-752.0,-384.0,524.0
3338,-756.0,-380.0,564.0
3355,-756.0,-380.0,564.0
3372,-756.0,-380.0,564.0
3388,-756.0,-380.0,564.0
3405,-756.0,-380.0,564.0
3421,-756.0,-380.0,564.0
3439,-752.0,-320.0,600.0
3455,-752.0,-320.0,600.0
3472,-752.0,-320.0,600.0
3489,-752.0,-320.0,600.0
3505,-752.0,-320.0,600.0
3521,-752.0,-320.0,600.0
3538,-752.0,-320.0,600.0
3555,-764.0,-344.0,568.0
3572,-764.0,-344.0,568.0
3588,-764.0,-344.0,568.0
3605,-764.0,-344.0,568.0
3622,-764.0,-344.0,568.0
3638,-764.0,-344.0,568.0
3655,-820.0,-292.0,496.0
3672,-820.0,-292.0,496.0
3688,-820.0,-292.0,496.0
3705,-820.0,-292.0,496.0
3721,-820.0,-292.0,496.0
3739,-820.0,-292.0,496.0
3755,-944.0,-240.0,432.0
3772,-944.0,-240.0,432.0
3789,-944.0,-240.0,432.0
3806,-944.0,-240.0,432.0
3822,-944.0,-240.0,432.0
3838,-944.0,-240.0,432.0
3855,-1032.0,-100.0,348.0
3872,-1032.0,-100.0,348.0
3889,-1032.0,-100.0,348.0
3906,-1032.0,-100.0,348.0
3921,-1032.0,-100.0,348.0
3939,-1032.0,-100.0,348.0
3955,-1032.0,-100.0,348.0
3972,-1008.0,-120.0,332.0
3989,-1008.0,-120.0,332.0
4006,-1008.0,-120.0,332.0
4021,-1008.0,-120.0,332.0
4039,-1008.0,-120.0,332.0
4055,-1008.0,-120.0,332.0
4071,-968.0,-96.0,328.0
4088,-968.0,-96.0,328.0
4105,-968.0,-96.0,328.0
4121,-968.0,-96.0,328.0
4138,-968.0,-96.0,328.0
4155,-968.0,-96.0,328.0
4172,-976.0,-68.0,360.0
4188,-976.0,-68.0,360.0
4206,-976.0,-68.0,360.0
4221,-976.0,-68.0,360.0
4238,-976.0,-68.0,360.0
4256,-976.0,-68.0,360.0
4272,-880.0,-92.0,372.0
4288,-880.0,-92.0,372.0
4305,-880.0,-92.0,372.0
4321,-880.0,-92.0,372.0
4339,-880.0,-92.0,372.0
4355,-880.0,-92.0,372.0
4372,-880.0,-276.0,492.0
4388,-880.0,-276.0,492.0
4404,-880.0,-276.0,492.0
4422,-880.0,-276.0,492.0
4438,-880.0,-276.0,492.0
4455,-880.0,-276.0,492.0
4472,-880.0,-276.0,492.0
4488,-844.0,-312.0,532.0
4505,-844.0,-312.0,532.0
4522,-844.0,-312.0,532.0
4539,-844.0,-312.0,532.0
4555,-844.0,-312.0,532.0
4572,-844.0,-312.0,532.0
4588,-768.0,-276.0,504.0
4606,-768.0,-276.0,504.0
4621,-768.0,-276.0,504.0
4638,-768.0,-276.0,504.0
4655,-768.0,-276.0,504.0
4672,-768.0,-276.0,504.0
4688,-832.0,-328.0,552.0
4705,-832.0,-328.0,552.0
4722,-832.0,-328.0,552.0
4738,-832.0,-328.0,552.0
4755,-832.0,-328.0,552.0
4772,-832.0,-328.0,552.0
4788,-740.0,-364.0,596.0
4806,-740.0,-364.0,596.0
4821,-740.0,-364.0,596.0
4838,-740.0,-364.0,596.0
4855,-740.0,-364.0,596.0
4872,-740.0,-364.0,596.0
4888,-740.0,-364.0,596.0
4905,-692.0,-376.0,668.0
4921,-692.0,-376.0,668.0
4938,-692.0,-376.0,668.0
4954,-692.0,-376.0,668.0
4972,-692.0,-376.0,668.0
4988,-692.0,-376.0,668.0
5005,-660.0,-344.0,656.0
5022,-660.0,-344.0,656.0
5038,-660.0,-344.0,656.0
5055,-660.0,-344.0,656.0
5071,-660.0,-344.0,656.0
5090,-660.0,-344.0,656.0
5108,-716.0,-324.0,628.0
5127,-716.0,-324.0,628.0
5145,-716.0,-324.0,628.0
5162,-716.0,-324.0,628.0
5179,-716.0,-324.0,628.0
5196,-716.0,-324.0,628.0
5213,-756.0,-312.0,556.0
5229,-756.0,-312.0,556.0
5245,-756.0,-312.0,556.0
5263,-756.0,-312.0,556.0
5279,-756.0,-312.0,556.0
5296,-756.0,-312.0,556.0
5313,-796.0,-280.0,508.0
5329,-796.0,-280.0,508.0
5346,-796.0,-280.0,508.0
5363,-796.0,-280.0,508.0
5379,-796.0,-280.0,508.0
5396,-796.0,-280.0,508.0
5413,-908.0,-260.0,452.0
5429,-908.0,-260.0,452.0
5446,-908.0,-260.0,452.0
5462,-908.0,-260.0,452.0
5479,-908.0,-260.0,452.0
5496,-908.0,-260.0,452.0
5513,-988.0,-180.0,424.0
5529,-988.0,-180.0,424.0
5546,-988.0,-180.0,424.0
5562,-988.0,-180.0,424.0
