MILLIS,X,Y,Z
1338,-820.0,-220.0,420.0
1454,-860.0,-252.0,484.0
1470,-860.0,-252.0,484.0
1486,-860.0,-252.0,484.0
1505,-860.0,-252.0,484.0
1523,-860.0,-252.0,484.0
1542,-860.0,-252.0,484.0
1560,-864.0,-332.0,536.0
1577,-864.0,-332.0,536.0
1593,-864.0,-332.0,536.0
1610,-864.0,-332.0,536.0
1626,-864.0,-332.0,536.0
1643,-864.0,-332.0,536.0
1661,-772.0,-316.0,564.0
1677,-772.0,-316.0,564.0
1694,-772.0,-316.0,564.0
1710,-772.0,-316.0,564.0
1726,-772.0,-316.0,564.0
1743,-772.0,-316.0,564.0
1760,-772.0,-316.0,564.0
1777,-776.0,-296.0,588.0
1793,-776.0,-296.0,588.0
1809,-776.0,-296.0,588.0
1826,-776.0,-296.0,588.0
1843,-776.0,-296.0,588.0
1860,-776.0,-296.0,588.0
1876,-788.0,-300.0,504.0
1893,-788.0,-300.0,504.0
1909,-788.0,-300.0,504.0
1927,-788.0,-300.0,504.0
1943,-788.0,-300.0,504.0
1959,-788.0,-300.0,504.0
1976,-848.0,-316.0,472.0
1992,-848.0,-316.0,472.0
2010,-848.0,-316.0,472.0
2026,-848.0,-316.0,472.0
2043,-848.0,-316.0,472.0
2059,-848.0,-316.0,472.0
2076,-968.0,-204.0,372.0
2094,-968.0,-204.0,372.0
2109,-968.0,-204.0,372.0
2126,-968.0,-204.0,372.0
2142,-968.0,-204.0,372.0
2159,-968.0,-204.0,372.0
2176,-968.0,-204.0,372.0
2192,-1096.0,-116.0,316.0
2209,-1096.0,-116.0,316.0
2226,-1096.0,-116.0,316.0
2242,-1096.0,-116.0,316.0
2260,-1096.0,-116.0,316.0
2276,-1096.0,-116.0,316.0
2293,-1052.0,-96.0,292.0
2309,-1052.0,-96.0,292.0
2327,-1052.0,-96.0,292.0
2343,-1052.0,-96.0,292.0
2359,-1052.0,-96.0,292.0
2376,-1052.0,-96.0,292.0
2393,-912.0,-88.0,304.0
2409,-912.0,-88.0,304.0
2427,-912.0,-88.0,304.0
2442,-912.0,-88.0,304.0
2459,-912.0,-88.0,304.0
2477,-912.0,-88.0,304.0
2493,-876.0,96.0,304.0
2509,-876.0,96.0,304.0
2527,-876.0,96.0,304.0
2543,-876.0,96.0,304.0
2559,-876.0,96.0,304.0
2577,-876.0,96.0,304.0
2593,-916.0,-308.0,456.0
2610,-916.0,-308.0,456.0
2626,-916.0,-308.0,456.0
2643,-916.0,-308.0,456.0
2659,-916.0,-308.0,456.0
2677,-916.0,-308.0,456.0
2694,-916.0,-308.0,456.0
2710,-820.0,-336.0,492.0
2727,-820.0,-336.0,492.0
2743,-820.0,-336.0,492.0
2760,-820.0,-336.0,492.0
2777,-820.0,-336.0,492.0
2793,-820.0,-336.0,492.0
2810,-788.0,-308.0,556.0
2826,-788.0,-308.0,556.0
2843,-788.0,-308.0,556.0
2860,-788.0,-308.0,556.0
2876,-788.0,-308.0,556.0
2893,-788.0,-308.0,556.0
2909,-844.0,-280.0,544.0
2926,-844.0,-280.0,544.0
2943,-844.0,-280.0,544.0
2959,-844.0,-280.0,544.0
2976,-844.0,-280.0,544.0
2993,-844.0,-280.0,544.0
3009,-744.0,-312.0,628.0
3026,-744.0,-312.0,628.0
3042,-744.0,-312.0,628.0
3060,-744.0,-312.0,628.0
3077,-744.0,-312.0,628.0
3093,-744.0,-312.0,628.0
3109,-744.0,-312.0,628.0
3126,-772.0,-276.0,652.0
3143,-772.0,-276.0,652.0
3160,-772.0,-276.0,652.0
3176,-772.0,-276.0,652.0
3193,-772.0,-276.0,652.0
3210,-772.0,-276.0,652.0
3227,-772.0,-236.0,572.0
3243,-772.0,-236.0,572.0
3259,-772.0,-236.0,572.0
3276,-772.0,-236.0,572.0
3292,-772.0,-236.0,572.0
3309,-772.0,-236.0,572.0
3327,-824.0,-180.0,484.0
3343,-824.0,-180.0,484.0
3360,-824.0,-180.0,484.0
3376,-824.0,-180.0,484.0
3392,-824.0,-180.0,484.0
3409,-824.0,-180.0,484.0
3425,-964.0,-136.0,424.0
3442,-964.0,-136.0,424.0
3460,-964.0,-136.0,424.0
3476,-964.0,-136.0,424.0
3493,-964.0,-136.0,424.0
3509,-964.0,-136.0,424.0
3525,-1040.0,-48.0,348.0
3543,-1040.0,-48.0,348.0
3560,-1040.0,-48.0,348.0
3577,-1040.0,-48.0,348.0
3593,-1040.0,-48.0,348.0
3609,-1040.0,-48.0,348.0
3626,-1040.0,-48.0,348.0
3642,-1076.0,-36.0,320.0
3660,-1076.0,-36.0,320.0
3677,-1076.0,-36.0,320.0
3693,-1076.0,-36.0,320.0
3710,-1076.0,-36.0,320.0
3726,-1076.0,-36.0,320.0
3743,-960.0,-32.0,300.0
3759,-960.0,-32.0,300.0
3777,-960.0,-32.0,300.0
3793,-960.0,-32.0,300.0
3810,-960.0,-32.0,300.0
3826,-960.0,-32.0,300.0
3843,-1032.0,-80.0,308.0
3859,-1032.0,-80.0,308.0
3876,-1032.0,-80.0,308.0
3893,-1032.0,-80.0,308.0
3910,-1032.0,-80.0,308.0
3926,-1032.0,-80.0,308.0
3943,-1020.0,44.0,288.0
3959,-1020.0,44.0,288.0
3977,-1020.0,44.0,288.0
3994,-1020.0,44.0,288.0
4010,-1020.0,44.0,288.0
4026,-1020.0,44.0,288.0
4043,-924.0,20.0,308.0
4060,-924.0,20.0,308.0
4077,-924.0,20.0,308.0
4093,-924.0,20.0,308.0
4109,-924.0,20.0,308.0
4126,-924.0,20.0,308.0
4142,-924.0,20.0,308.0
4160,-904.0,-144.0,372.0
4176,-904.0,-144.0,372.0
4192,-904.0,-144.0,372.0
4209,-904.0,-144.0,372.0
4226,-904.0,-144.0,372.0
4243,-904.0,-144.0,372.0
4260,-784.0,-444.0,492.0
4276,-784.0,-444.0,492.0
4293,-784.0,-444.0,492.0
4310,-784.0,-444.0,492.0
4326,-784.0,-444.0,492.0
4343,-784.0,-444.0,492.0
4359,-800.0,-292.0,532.0
4376,-800.0,-292.0,532.0
4393,-800.0,-292.0,532.0
4410,-800.0,-292.0,532.0
4427,-800.0,-292.0,532.0
4443,-800.0,-292.0,532.0
4460,-748.0,-176.0,604.0
4476,-748.0,-176.0,604.0
4494,-748.0,-176.0,604.0
4510,-748.0,-176.0,604.0
4526,-748.0,-176.0,604.0
4543,-748.0,-176.0,604.0
4559,-748.0,-176.0,604.0
4577,-740.0,-388.0,668.0
4593,-740.0,-388.0,668.0
4609,-740.0,-388.0,668.0
4626,-740.0,-388.0,668.0
4643,-740.0,-388.0,668.0
4660,-740.0,-388.0,668.0
4677,-720.0,-392.0,712.0
4694,-720.0,-392.0,712.0
4709,-720.0,-392.0,712.0
4727,-720.0,-392.0,712.0
4742,-720.0,-392.0,712.0
4760,-720.0,-392.0,712.0
4776,-656.0,-376.0,628.0
4794,-656.0,-376.0,628.0
4809,-656.0,-376.0,628.0
4826,-656.0,-376.0,628.0
4843,-656.0,-376.0,628.0
