MILLIS,X,Y,Z
1961,-36.0,-392.0,800.0
2079,84.0,-428.0,756.0
2094,84.0,-428.0,756.0
2112,72.0,632.0,632.0
2130,72.0,632.0,632.0
2149,72.0,632.0,632.0
2167,72.0,632.0,632.0
2183,72.0,632.0,632.0
2200,72.0,632.0,632.0
2217,-156.0,752.0,1244.0
2234,-156.0,752.0,1244.0
2250,-156.0,752.0,1244.0
2267,-156.0,752.0,1244.0
2284,-156.0,752.0,1244.0
2301,-156.0,752.0,1244.0
2318,-112.0,872.0,612.0
2334,-112.0,872.0,612.0
2351,-112.0,872.0,612.0
2367,-112.0,872.0,612.0
2384,-112.0,872.0,612.0
2400,-112.0,872.0,612.0
2416,-284.0,680.0,488.0
2434,-284.0,680.0,488.0
2450,-284.0,680.0,488.0
2467,-284.0,680.0,488.0
2483,-284.0,680.0,488.0
2500,-284.0,680.0,488.0
2517,-284.0,680.0,488.0
2533,-504.0,784.0,668.0
2549,-504.0,784.0,668.0
2567,-504.0,784.0,668.0
2583,-504.0,784.0,668.0
2599,-504.0,784.0,668.0
2616,-504.0,784.0,668.0
2633,176.0,464.0,1248.0
2650,176.0,464.0,1248.0
2666,176.0,464.0,1248.0
2683,176.0,464.0,1248.0
2699,176.0,464.0,1248.0
2717,176.0,464.0,1248.0
2732,-568.0,708.0,860.0
2749,-568.0,708.0,860.0
2766,-568.0,708.0,860.0
2783,-568.0,708.0,860.0
2800,-568.0,708.0,860.0
2816,-568.0,708.0,860.0
2833,-256.0,412.0,124.0
2850,-256.0,412.0,124.0
2867,-256.0,412.0,124.0
2884,-256.0,412.0,124.0
2900,-256.0,412.0,124.0
2917,-256.0,412.0,124.0
2934,-56.0,316.0,792.0
2950,-56.0,316.0,792.0
2967,-56.0,316.0,792.0
2984,-56.0,316.0,792.0
3000,-56.0,316.0,792.0
3016,-56.0,316.0,792.0
3033,-56.0,316.0,792.0
3049,92.0,500.0,504.0
3067,92.0,500.0,504.0
3083,92.0,500.0,504.0
3100,92.0,500.0,504.0
3116,92.0,500.0,504.0
3133,92.0,500.0,504.0
3150,488.0,1112.0,852.0
3167,488.0,1112.0,852.0
3184,488.0,1112.0,852.0
3201,488.0,1112.0,852.0
3216,488.0,1112.0,852.0
3234,488.0,1112.0,852.0
3251,-500.0,528.0,984.0
3267,-500.0,528.0,984.0
3284,-500.0,528.0,984.0
3300,-500.0,528.0,984.0
3317,-500.0,528.0,984.0
3333,-500.0,528.0,984.0
3350,-488.0,320.0,784.0
3367,-488.0,320.0,784.0
3383,-488.0,320.0,784.0
3400,-488.0,320.0,784.0
3416,-488.0,320.0,784.0
3433,-488.0,320.0,784.0
3449,-488.0,320.0,784.0
3467,-224.0,604.0,892.0
3483,-224.0,604.0,892.0
3500,-224.0,604.0,892.0
3516,-224.0,604.0,892.0
3534,-224.0,604.0,892.0
3549,-224.0,604.0,892.0
3567,-260.0,376.0,764.0
3583,-260.0,376.0,764.0
3600,-260.0,376.0,764.0
3617,-260.0,376.0,764.0
3633,-260.0,376.0,764.0
3650,-260.0,376.0,764.0
3667,-296.0,220.0,816.0
3684,-296.0,220.0,816.0
3701,-296.0,220.0,816.0
3717,-296.0,220.0,816.0
3733,-296.0,220.0,816.0
3749,-296.0,220.0,816.0
3767,-224.0,-68.0,744.0
3783,-224.0,-68.0,744.0
3800,-224.0,-68.0,744.0
3817,-224.0,-68.0,744.0
3833,-224.0,-68.0,744.0
3850,-224.0,-68.0,744.0
3866,-284.0,112.0,1016.0
3883,-284.0,112.0,1016.0
3899,-284.0,112.0,1016.0
3916,-284.0,112.0,1016.0
3933,-284.0,112.0,1016.0
3950,-284.0,112.0,1016.0
3967,-284.0,112.0,1016.0
3983,-256.0,-208.0,812.0
4000,-256.0,-208.0,812.0
4017,-256.0,-208.0,812.0
4034,-256.0,-208.0,812.0
4050,-256.0,-208.0,812.0
4067,-256.0,-208.0,812.0
4083,-260.0,-380.0,992.0
4100,-260.0,-380.0,992.0
4117,-260.0,-380.0,992.0
4133,-260.0,-380.0,992.0
4150,-260.0,-380.0,992.0
4167,-260.0,-380.0,992.0
4183,-104.0,-532.0,792.0
4200,-104.0,-532.0,792.0
4217,-104.0,-532.0,792.0
4234,-104.0,-532.0,792.0
4250,-104.0,-532.0,792.0
4267,-104.0,-532.0,792.0
4283,-32.0,-476.0,844.0
4300,-32.0,-476.0,844.0
4317,-32.0,-476.0,844.0
4333,-32.0,-476.0,844.0
4350,-32.0,-476.0,844.0
4366,-32.0,-476.0,844.0
4383,-32.0,-476.0,844.0
4400,-116.0,-232.0,884.0
4416,-116.0,-232.0,884.0
4433,-116.0,-232.0,884.0
4450,-116.0,-232.0,884.0
4467,-116.0,-232.0,884.0
4484,-116.0,-232.0,884.0
4500,-332.0,-172.0,1032.0
4516,-332.0,-172.0,1032.0
4534,-332.0,-172.0,1032.0
4550,-332.0,-172.0,1032.0
4566,-332.0,-172.0,1032.0
4584,-332.0,-172.0,1032.0
4600,-92.0,-16.0,1056.0
4616,-92.0,-16.0,1056.0
4633,-92.0,-16.0,1056.0
4649,-92.0,-16.0,1056.0
4667,-92.0,-16.0,1056.0
4683,-92.0,-16.0,1056.0
4700,-396.0,-80.0,1096.0
4717,-396.0,-80.0,1096.0
4733,-396.0,-80.0,1096.0
4750,-396.0,-80.0,1096.0
4767,-396.0,-80.0,1096.0
4783,-396.0,-80.0,1096.0
4799,600.0,200.0,652.0
4817,600.0,200.0,652.0
4833,600.0,200.0,652.0
4850,600.0,200.0,652.0
4867,600.0,200.0,652.0
4883,600.0,200.0,652.0
4900,600.0,200.0,652.0
4916,-336.0,136.0,748.0
4933,-336.0,136.0,748.0
4951,-336.0,136.0,748.0
4967,-336.0,136.0,748.0
4984,-336.0,136.0,748.0
5000,-336.0,136.0,748.0
5017,-244.0,320.0,784.0
5034,-244.0,320.0,784.0
5051,-244.0,320.0,784.0
5067,-244.0,320.0,784.0
5084,-244.0,320.0,784.0
5100,-244.0,320.0,784.0
5116,-200.0,372.0,976.0
5134,-200.0,372.0,976.0
5151,-200.0,372.0,976.0
5166,-200.0,372.0,976.0
5182,-200.0,372.0,976.0
5199,-200.0,372.0,976.0
5217,-312.0,604.0,756.0
5233,-312.0,604.0,756.0
5250,-312.0,604.0,756.0
5267,-312.0,604.0,756.0
5283,-312.0,604.0,756.0
5301,-312.0,604.0,756.0
5317,-96.0,444.0,764.0
5334,-96.0,444.0,764.0
5350,-96.0,444.0,764.0
5367,-96.0,444.0,764.0
5383,-96.0,444.0,764.0
5400,-96.0,444.0,764.0
5417,-96.0,444.0,764.0
5434,64.0,284.0,860.0
5450,64.0,284.0,860.0
5467,64.0,284.0,860.0
5484,64.0,284.0,860.0
5499,64.0,284.0,860.0
5517,64.0,284.0,860.0
5533,340.0,-104.0,972.0
5550,340.0,-104.0,972.0
5567,340.0,-104.0,972.0
5586,340.0,-104.0,972.0
5604,340.0,-104.0,972.0
5623,340.0,-104.0,972.0
5640,-4.0,-308.0,824.0
5657,-4.0,-308.0,824.0
5675,-4.0,-308.0,824.0
5692,-4.0,-308.0,824.0
5707,-4.0,-308.0,824.0
5725,-4.0,-308.0,824.0
