magnitude,size, circX,circY,mouseX,mouseY,steps
0.0,0,0,0,0,0,1
0.0,0,0,0,0,0,2
0.0,0,0,0,0,0,3
0.0,0,0,0,0,0,4
0.0,0,0,0,0,0,5
0.0,0,0,0,0,0,6
0.0,0,0,0,0,0,7
0.0,0,0,0,0,0,8
0.0,0,0,0,0,0,9
0.0,0,0,0,0,0,10
0.0,0,0,0,0,0,11
0.0,0,0,0,0,0,12
0.0,0,0,0,0,0,13
0.0,0,0,0,0,0,14
0.0,0,0,0,0,0,15
0.0,0,0,0,0,0,16
0.0,0,0,0,0,0,17
0.0,0,0,0,0,0,18
0.0,0,0,0,0,0,19
0.0,0,0,0,0,0,20
0.0,0,0,0,0,0,21
0.0,0,0,0,0,0,22
0.0,0,0,0,0,0,23
0.0,0,0,0,0,0,24
0.0,0,0,0,0,0,25
0.0,0,0,0,0,0,26
0.0,0,0,0,0,0,27
0.0,0,0,0,0,0,28
0.0,0,0,0,0,0,29
0.0,0,0,0,0,0,30
0.0,0,0,0,0,0,31
0.0,0,0,0,0,0,32
0.0,0,0,0,0,0,33
0.0,0,0,0,0,0,34
0.0,0,0,0,0,0,35
0.0,0,0,0,0,0,36
0.0,0,0,0,0,0,37
0.0,0,0,0,0,0,38
0.0,0,0,0,0,0,39
0.0,0,0,0,0,0,40
0.0,0,0,0,0,0,41
0.0,0,0,0,0,0,42
0.0,0,0,0,0,0,43
0.0,0,0,0,0,0,44
0.0,0,0,0,0,0,45
0.0,0,0,0,270,47,46
0.0,0,0,0,638,622,47
0.0,0,0,0,643,625,48
0.0,0,0,0,656,636,49
0.0,0,0,0,665,647,50
0.0,0,0,0,671,654,51
0.0,100,640,400,678,661,52
0.0,0,0,0,678,661,1
0.0,0,0,0,693,674,2
0.0,0,0,0,698,676,3
0.0,0,0,0,714,679,4
0.0,0,0,0,727,683,5
0.0,0,0,0,740,688,6
0.0,0,0,0,758,696,7
0.0,0,0,0,769,701,8
0.0,0,0,0,779,704,9
0.0,0,0,0,785,704,10
0.0,0,0,0,785,702,11
0.0,0,0,0,778,667,12
0.0,0,0,0,776,656,13
