magnitude,size, circX,circY,mouseX,mouseY,steps
0.0,0,0,0,0,0,1
0.0,0,0,0,0,0,2
0.0,0,0,0,0,0,3
0.0,0,0,0,0,0,4
0.0,0,0,0,0,0,5
0.0,0,0,0,0,0,6
0.0,0,0,0,0,0,7
0.0,0,0,0,0,0,8
0.0,0,0,0,0,0,9
0.0,0,0,0,0,0,10
0.0,0,0,0,0,0,11
0.0,0,0,0,0,0,12
0.0,0,0,0,0,0,13
0.0,0,0,0,0,0,14
0.0,0,0,0,0,0,15
0.0,0,0,0,0,0,16
0.0,0,0,0,0,0,17
0.0,0,0,0,0,0,18
0.0,0,0,0,0,0,19
0.0,0,0,0,0,0,20
0.0,0,0,0,0,0,21
0.0,0,0,0,0,0,22
0.0,0,0,0,0,0,23
0.0,0,0,0,0,0,24
0.0,0,0,0,0,0,25
0.0,0,0,0,0,0,26
0.0,0,0,0,0,0,27
0.0,0,0,0,0,0,28
0.0,0,0,0,0,0,29
0.0,0,0,0,0,0,30
0.0,0,0,0,0,0,31
0.0,0,0,0,0,0,32
0.0,0,0,0,0,0,33
0.0,0,0,0,0,0,34
0.0,0,0,0,0,0,35
0.0,0,0,0,0,0,36
0.0,0,0,0,0,0,37
0.0,0,0,0,0,0,38
0.0,0,0,0,0,0,39
0.0,0,0,0,0,0,40
0.0,0,0,0,0,0,41
0.0,0,0,0,0,0,42
0.0,0,0,0,0,0,43
0.0,0,0,0,358,209,44
0.0,0,0,0,366,217,45
0.0,0,0,0,375,224,46
0.0,0,0,0,382,229,47
0.0,0,0,0,387,233,48
0.0,0,0,0,391,237,49
0.0,0,0,0,399,242,50
0.0,0,0,0,406,249,51
0.0,0,0,0,417,257,52
0.0,0,0,0,430,268,53
0.0,0,0,0,440,276,54
0.0,0,0,0,450,282,55
0.0,0,0,0,456,285,56
0.0,0,0,0,463,290,57
0.0,0,0,0,470,293,58
0.0,0,0,0,473,295,59
0.0,0,0,0,475,295,60
0.0,0,0,0,476,296,61
0.0,0,0,0,476,296,62
0.0,0,0,0,476,296,63
0.0,0,0,0,476,296,64
0.0,0,0,0,476,296,65
