magnitude,size, circX,circY,mouseX,mouseY,steps
0.0,0,0,0,0,0,1
0.0,0,0,0,0,0,2
0.0,0,0,0,0,0,3
0.0,0,0,0,0,0,4
0.0,0,0,0,0,0,5
0.0,0,0,0,0,0,6
0.0,0,0,0,0,0,7
0.0,0,0,0,0,0,8
0.0,0,0,0,0,0,9
0.0,0,0,0,0,0,10
0.0,0,0,0,0,0,11
0.0,0,0,0,0,0,12
0.0,0,0,0,0,0,13
0.0,0,0,0,0,0,14
0.0,0,0,0,0,0,15
0.0,0,0,0,0,0,16
0.0,0,0,0,0,0,17
0.0,0,0,0,0,0,18
0.0,0,0,0,0,0,19
0.0,0,0,0,0,0,20
0.0,0,0,0,0,0,21
0.0,0,0,0,0,0,22
0.0,0,0,0,0,0,23
0.0,0,0,0,0,0,24
0.0,0,0,0,0,0,25
0.0,0,0,0,0,0,26
0.0,0,0,0,0,0,27
0.0,0,0,0,0,0,28
0.0,0,0,0,0,0,29
0.0,0,0,0,0,0,30
0.0,0,0,0,0,0,31
0.0,0,0,0,0,0,32
0.0,0,0,0,0,0,33
0.0,0,0,0,0,0,34
0.0,0,0,0,0,0,35
0.0,0,0,0,0,0,36
0.0,0,0,0,0,0,37
0.0,0,0,0,0,0,38
0.0,0,0,0,0,0,39
0.0,0,0,0,0,0,40
0.0,0,0,0,0,0,41
0.0,0,0,0,0,0,42
0.0,0,0,0,0,0,43
0.0,0,0,0,560,351,44
0.0,0,0,0,569,358,45
0.0,0,0,0,577,362,46
0.0,0,0,0,586,367,47
0.0,0,0,0,596,375,48
0.0,0,0,0,603,378,49
0.0,0,0,0,609,380,50
0.0,0,0,0,623,391,51
0.0,0,0,0,635,401,52
0.0,0,0,0,640,407,53
0.0,0,0,0,640,407,54
0.0,0,0,0,640,407,55
0.0,0,0,0,640,407,56
0.0,0,0,0,640,407,57
0.0,0,0,0,640,407,58
0.0,0,0,0,640,407,59
0.0,0,0,0,640,407,60
0.0,0,0,0,640,407,61
0.0,0,0,0,640,407,62
0.0,0,0,0,640,407,63
0.0,0,0,0,640,407,64
0.0,100,640,400,640,407,65
