magnitude,size, circX,circY,mouseX,mouseY,steps
0.0,0,0,0,0,0,1
0.0,0,0,0,0,0,2
0.0,0,0,0,0,0,3
0.0,0,0,0,0,0,4
0.0,0,0,0,0,0,5
0.0,0,0,0,0,0,6
0.0,0,0,0,0,0,7
0.0,0,0,0,0,0,8
0.0,0,0,0,0,0,9
0.0,0,0,0,0,0,10
0.0,0,0,0,0,0,11
0.0,0,0,0,0,0,12
0.0,0,0,0,0,0,13
0.0,0,0,0,0,0,14
0.0,0,0,0,0,0,15
0.0,0,0,0,0,0,16
0.0,0,0,0,0,0,17
0.0,0,0,0,0,0,18
0.0,0,0,0,0,0,19
0.0,0,0,0,0,0,20
0.0,0,0,0,0,0,21
0.0,0,0,0,0,0,22
0.0,0,0,0,0,0,23
0.0,0,0,0,0,0,24
0.0,0,0,0,0,0,25
0.0,0,0,0,0,0,26
0.0,0,0,0,0,0,27
0.0,0,0,0,0,0,28
0.0,0,0,0,0,0,29
0.0,0,0,0,0,0,30
0.0,0,0,0,0,0,31
0.0,0,0,0,0,0,32
0.0,0,0,0,0,0,33
0.0,0,0,0,0,0,34
0.0,0,0,0,0,0,35
0.0,0,0,0,0,0,36
0.0,0,0,0,0,0,37
0.0,0,0,0,0,0,38
0.0,0,0,0,0,0,39
0.0,0,0,0,0,0,40
0.0,0,0,0,0,0,41
0.0,0,0,0,0,0,42
0.0,0,0,0,511,177,43
0.0,0,0,0,548,211,44
0.0,0,0,0,635,295,45
0.0,0,0,0,665,331,46
0.0,0,0,0,677,346,47
0.0,0,0,0,677,346,48
0.0,0,0,0,732,444,49
0.0,0,0,0,756,500,50
0.0,0,0,0,774,553,51
0.0,0,0,0,777,574,52
0.0,0,0,0,777,578,53
0.0,0,0,0,777,578,54
0.0,0,0,0,777,583,55
0.0,0,0,0,777,586,56
0.0,0,0,0,776,587,57
0.0,0,0,0,770,587,58
0.0,0,0,0,770,587,59
0.0,0,0,0,770,587,60
0.0,0,0,0,767,586,61
0.0,0,0,0,764,583,62
0.0,0,0,0,760,569,63
0.0,0,0,0,757,558,64
0.0,0,0,0,755,553,65
