magnitude,size, circX,circY,mouseX,mouseY,steps
0.0,0,0,0,0,0,1
0.0,0,0,0,0,0,2
0.0,0,0,0,0,0,3
0.0,0,0,0,0,0,4
0.0,0,0,0,0,0,5
0.0,0,0,0,0,0,6
0.0,0,0,0,0,0,7
0.0,0,0,0,0,0,8
0.0,0,0,0,0,0,9
0.0,0,0,0,0,0,10
0.0,0,0,0,0,0,11
0.0,0,0,0,0,0,12
0.0,0,0,0,0,0,13
0.0,0,0,0,0,0,14
0.0,0,0,0,0,0,15
0.0,0,0,0,0,0,16
0.0,0,0,0,0,0,17
0.0,0,0,0,0,0,18
0.0,0,0,0,0,0,19
0.0,0,0,0,0,0,20
0.0,0,0,0,0,0,21
0.0,0,0,0,0,0,22
0.0,0,0,0,0,0,23
0.0,0,0,0,0,0,24
0.0,0,0,0,0,0,25
0.0,0,0,0,0,0,26
0.0,0,0,0,0,0,27
0.0,0,0,0,0,0,28
0.0,0,0,0,0,0,29
0.0,0,0,0,0,0,30
0.0,0,0,0,0,0,31
0.0,0,0,0,0,0,32
0.0,0,0,0,0,0,33
0.0,0,0,0,0,0,34
0.0,0,0,0,0,0,35
0.0,0,0,0,0,0,36
0.0,0,0,0,0,0,37
0.0,0,0,0,0,0,38
0.0,0,0,0,0,0,39
0.0,0,0,0,0,0,40
0.0,0,0,0,0,0,41
0.0,0,0,0,0,0,42
0.0,0,0,0,0,0,43
0.0,0,0,0,683,470,44
0.0,0,0,0,680,468,45
0.0,0,0,0,675,464,46
0.0,0,0,0,674,463,47
0.0,0,0,0,672,461,48
0.0,0,0,0,669,459,49
0.0,0,0,0,666,457,50
0.0,0,0,0,665,454,51
0.0,0,0,0,665,454,52
0.0,0,0,0,665,454,53
0.0,0,0,0,664,454,54
0.0,0,0,0,664,454,55
0.0,0,0,0,664,454,56
0.0,0,0,0,664,454,57
0.0,0,0,0,664,454,58
0.0,0,0,0,664,453,59
0.0,0,0,0,664,453,60
0.0,0,0,0,663,452,61
0.0,0,0,0,663,451,62
0.0,0,0,0,660,449,63
0.0,0,0,0,657,447,64
0.0,0,0,0,654,437,65
