magnitude,size, circX,circY,mouseX,mouseY,steps
0.0,0,0,0,0,0,1
0.0,0,0,0,282,68,2
0.0,0,0,0,282,68,3
0.0,0,0,0,282,68,4
0.0,0,0,0,282,68,5
0.0,0,0,0,282,68,6
0.0,0,0,0,282,68,7
0.0,0,0,0,282,68,8
0.0,0,0,0,282,68,9
0.0,0,0,0,282,68,10
0.0,0,0,0,282,68,11
0.0,0,0,0,282,68,12
0.0,0,0,0,282,68,13
0.0,0,0,0,282,68,14
0.0,0,0,0,282,68,15
0.0,0,0,0,282,68,16
0.0,0,0,0,282,68,17
0.0,0,0,0,282,68,18
0.0,0,0,0,282,68,19
0.0,0,0,0,282,68,20
0.0,0,0,0,282,68,21
0.0,0,0,0,282,68,22
0.0,0,0,0,282,68,23
0.0,0,0,0,282,68,24
0.0,0,0,0,282,68,25
0.0,0,0,0,282,68,26
0.0,0,0,0,282,68,27
0.0,0,0,0,282,68,28
0.0,0,0,0,282,68,29
0.0,0,0,0,282,68,30
0.0,0,0,0,282,68,31
0.0,0,0,0,282,68,32
0.0,0,0,0,282,68,33
0.0,0,0,0,282,68,34
0.0,0,0,0,282,68,35
0.0,0,0,0,282,68,36
0.0,0,0,0,282,68,37
0.0,0,0,0,282,68,38
0.0,0,0,0,282,68,39
0.0,0,0,0,282,68,40
0.0,0,0,0,282,68,41
0.0,0,0,0,282,68,42
0.0,0,0,0,602,414,43
0.0,0,0,0,602,414,44
0.0,0,0,0,602,414,45
0.0,0,0,0,602,414,46
0.0,0,0,0,602,414,47
0.0,0,0,0,602,414,48
0.0,0,0,0,602,414,49
0.0,0,0,0,602,414,50
0.0,0,0,0,602,414,51
0.0,0,0,0,602,414,52
0.0,0,0,0,602,414,53
0.0,0,0,0,603,415,54
0.0,0,0,0,603,415,55
0.0,0,0,0,604,415,56
0.0,0,0,0,604,415,57
0.0,0,0,0,605,415,58
0.0,0,0,0,605,416,59
0.0,0,0,0,605,416,60
0.0,0,0,0,605,416,61
0.0,0,0,0,605,416,62
0.0,0,0,0,605,416,63
0.0,0,0,0,605,416,64
0.0,0,0,0,605,416,65
0.0,0,0,0,605,416,66
0.0,0,0,0,605,416,67
0.0,0,0,0,605,416,68
0.0,0,0,0,605,416,69
0.0,0,0,0,605,416,70
0.0,0,0,0,605,416,71
